Source,Target
abyss,lake
abyss,ocean
abyss,water
abyss,west
ages,city
ages,enclosure
ages,stag
ages,steps
ages,sword
ages,west
ages,wheel
ages,year
air,bird
air,birds
air,centre
air,cold
air,eagle
air,father
air,man
air,mist
air,moon
air,music
air,smoke
air,sound
air,stone
air,tree
air,water
air,wind
air,wings
ash,colour
ash,dust
ash,tree
belt,clothes
belt,fool
bird,eagle
bird,fish
bird,flight
bird,hand
bird,monsters
bird,swan
birds,bird
birds,colour
birds,king
birds,wheel
blood,man
blood,mother
blood,weapons
blood,white
boat,centre
boat,swan
body,belt
body,bird
body,boat
body,clothes
body,column
body,crown
body,eye
body,foot
body,hair
body,hand
body,head
body,heart
body,heaven
body,house
body,king
body,man
body,mask
body,mouth
body,ocean
body,power
body,serpent
body,shadow
body,skin
body,stone
body,sun
body,swan
body,woman
bow,net
branch,fountain
branch,seed
branch,sword
bull,blood
bull,cloak
bull,cow
bull,dog
bull,man
bull,monsters
bull,victory
cavern,mountain
centre,colour
centre,enclosure
centre,fire
centre,fool
centre,fountain
centre,heart
centre,mountain
centre,twelve
centre,palace
centre,pearl
centre,power
centre,shape
centre,space
centre,spark
centre,swan
centre,time
centre,tree
centre,well
centre,wheel
centre,white
chain,stag
chain,steps
chaos,darkness
chaos,flocks
chaos,horse
chaos,mist
chaos,shape
chariot,boat
chariot,wheel
child,ages
child,eye
choice,treasure
circle,centre
circle,colour
circle,egg
circle,enclosure
circle,eye
circle,fountain
circle,halo
circle,hand
circle,mountain
circle,mouth
circle,twelve
circle,ring
circle,shape
circle,time
circle,wheel
circle,year
city,clothes
city,colour
city,enclosure
city,forest
city,white
city,woman
cloak,blood
clothes,colour
clothes,disguise
clouds,centre
clouds,heaven
clouds,king
clouds,steps
clouds,water
cold,air
cold,man
colour,bird
colour,blood
colour,chaos
colour,choice
colour,cloak
colour,fool
colour,helmet
colour,light
colour,mountain
colour,night
colour,star
colour,stone
colour,treasure
colour,white
colour,world
column,smoke
crown,child
crown,city
crown,halo
crown,head
crown,heart
crown,horns
crown,mountain
crown,seasons
crown,victory
crystal,goblet
darkness,cavern
darkness,colour
darkness,eagle
darkness,earth
darkness,journey
darkness,monsters
darkness,mountain
darkness,night
darkness,star
darkness,weapons
dawn,dew
death,abyss
death,ages
death,ash
death,bird
death,chaos
death,colour
death,hand
death,horse
death,lake
death,moon
death,mother
death,mountain
death,music
death,night
death,plants
death,return
death,room
death,space
death,stag
death,stone
death,sword
death,water
death,west
death,wheel
death,wood
death,world
death,year
destruction,colour
destruction,dust
destruction,eye
destruction,fire
destruction,return
destruction,serpent
destruction,space
destruction,weapons
destruction,west
dew,snow
dog,colour
door,stone
double,colour
double,dew
double,eagle
double,fountain
double,four
double,treasure
dreams,child
dreams,clothes
dreams,fire
dreams,house
dreams,ocean
dreams,steps
dreams,water
dust,ash
dust,cow
dust,stone
eagle,bird
eagle,birds
eagle,king
eagle,mountain
eagle,music
eagle,stag
earth,air
earth,bull
earth,chain
earth,clothes
earth,colour
earth,cow
earth,death
earth,enchantment
earth,foot
earth,garden
earth,gold
earth,guardian
earth,head
earth,heart
earth,heaven
earth,king
earth,man
earth,mask
earth,mountain
earth,mouth
earth,music
earth,oak
earth,ocean
earth,rain
earth,shape
earth,smoke
earth,snow
earth,space
earth,stag
earth,stars
earth,steps
earth,sword
earth,tree
earth,water
earth,weapons
earth,wheel
earth,white
egg,heaven
enclosure,knot
enclosure,room
enclosure,wall
eye,hand
eye,man
eye,mouth
eye,space
father,bull
father,chain
father,eagle
father,king
father,room
fight,monsters
fight,net
fight,sword
fire,air
fire,ash
fire,bull
fire,centre
fire,chariot
fire,colour
fire,destruction
fire,dust
fire,eye
fire,father
fire,flame
fire,fool
fire,giant
