Source,Target
abyss,lake
abyss,ocean
abyss,water
abyss,west
ages,city
ages,dragon
ages,elements
ages,eight
ages,sword
ages,tower
ages,west
ages,year
air,bird
air,birds
air,cold
air,dragon
air,eagle
air,elements
air,father
air,hole
air,ice
air,locusts
air,man
air,mist
air,moon
air,music
air,smoke
air,sound
air,stone
air,tree
air,water
air,wind
air,wings
ark,temple
arm,fight
arm,space
arm,tree
ash,dust
ash,tree
basket,seasons
bear,ages
bear,boar
bear,bower
bear,eternity
bear,hamlet
bear,heat
bear,hole
bear,man
bear,mother
bear,nature
bear,space
bear,world
belt,clothes
bird,coal
bird,eagle
bird,fish
bird,flight
bird,hand
birds,bird
birds,king
blood,dragon
blood,man
blood,mars
blood,mother
blood,weapons
blood,wine
boar,steed
boat,ship
body,basket
body,belt
body,bird
body,boat
body,box
body,clothes
body,column
body,dragon
body,dwarf
body,eye
body,foot
body,hair
body,hand
body,head
body,heart
body,heaven
body,house
body,king
body,man
body,mouth
body,necklace
body,ocean
body,power
body,reins
body,serpent
body,ship
body,shoes
body,skull
body,stone
body,sun
body,woman
book,love
book,serpent
bow,net
branch,fountain
branch,seed
branch,sword
bridge,harp
castle,mountain
chaos,darkness
chaos,dragon
chaos,hero
chaos,horse
chaos,mist
chaos,shape
chariot,boat
chariot,reins
child,ages
child,eye
circle,ark
circle,dance
circle,eye
circle,fountain
circle,hand
circle,mountain
circle,mouth
circle,eight
circle,twelve
circle,ring
circle,shape
circle,thorn
circle,time
circle,year
city,clothes
city,forest
city,woman
clothes,disguise
clouds,heaven
clouds,king
clouds,neptune
clouds,water
cold,air
cold,man
cold,mistletoe
column,smoke
combat,chain
combat,destruction
combat,dragon
combat,fight
combat,hero
combat,net
combat,war
combat,weapons
creation,chaos
creation,cow
creation,dance
creation,destruction
creation,elements
creation,eye
creation,fire
creation,giant
creation,hammer
creation,head
creation,image
creation,mars
creation,mountain
creation,night
creation,ring
creation,sacrifice
creation,space
creation,stone
creation,valley
creation,water
creation,year
dance,ring
darkness,castle
darkness,cat
darkness,crow
darkness,eagle
darkness,earth
darkness,journey
darkness,mountain
darkness,night
darkness,star
darkness,weapons
dawn,dew
death,abyss
death,ages
death,ash
death,bird
death,chaos
death,hand
death,horse
death,intestines
death,knife
death,lake
death,locusts
death,loss
death,mars
death,moon
death,mother
death,mountain
death,music
death,night
death,plants
death,return
death,room
death,space
death,stone
death,styx
death,superiority
death,sword
death,water
death,west
death,wood
death,world
death,year
destruction,dragon
destruction,dust
destruction,eve
destruction,eye
destruction,fire
destruction,locusts
destruction,return
destruction,serpent
destruction,ship
destruction,space
destruction,weapons
destruction,west
devil,eye
devil,west
dew,snow
disappearance,mirror
disappearance,mountain
disappearance,ocean
door,bower
door,hole
door,mirror
door,stone
dragon,boar
dragon,dreams
dragon,elements
dragon,eternity
dragon,man
dragon,matter
dragon,seasons
dragon,superiority
dragon,treasure
dragon,victory
dragon,water
dreams,child
dreams,clothes
dreams,fire
dreams,hamlet
dreams,house
dreams,ocean
dreams,water
dust,ash
dust,cow
dust,stone
eagle,bird
eagle,birds
eagle,dragon
eagle,jupiter
eagle,king
eagle,mountain
eagle,music
earth,air
earth,chain
earth,clothes
earth,cow
earth,death
earth,devil
earth,dragon
earth,elements
earth,foot
earth,gold
earth,head
earth,heart
earth,heaven
earth,hell
earth,intestines
earth,king
earth,locusts
earth,man
earth,mountain
earth,mouth
earth,music
earth,oak
earth,ocean
earth,rain
earth,saturn
earth,shape
earth,shoes
earth,smoke
earth,snow
earth,space
earth,stars
earth,sword
earth,temple
earth,tower
earth,tree
earth,water
earth,weapons
elements,air
elements,bird
elements,chariot
elements,crow
elements,door
elements,dragon
elements,eagle
elements,father
elements,fight
elements,love
elements,mist
