,Source,Target,Weight
0,Rolf,Krake,18
1,Thor,Hammer,17
2,Odin,Name,13
3,Elder,Edda,13
4,Odin,Asas,13
5,Thor,Name,13
6,Thor,Hrungner,12
7,Gunnar,Sigurd,12
8,Odin,Gods,11
9,Hel,Balder,11
10,Balder,Hel,11
11,Odin,Son,10
12,Ganglere,Har,10
13,Vala,Prophecy,10
14,Odin,Loke,10
15,Thor,Thjalfe,10
16,Sigurd,Brynhild,10
17,Odin,People,10
18,Odin,Hall,9
19,Njord,Frey,9
20,Frey,Freyja,9
21,Thor,Hall,9
22,Hymer,Thor,9
23,Thor,Loke,9
24,Sigurd,Gunnar,9
25,Gunnar,Hogne,9
26,Norse,Mythology,9
27,Skjold,Son,8
28,Odin,Land,8
29,Odin,Mimer,8
30,Odin,Freyja,8
31,Loke,Thor,8
32,Odin,Frey,8
33,Odin,Drink,8
34,Bauge,Bolverk,8
35,Geirrod,Thor,8
36,Thor,Geirrod,8
37,Regin,Fafner,8
38,Sigurd,Son,8
39,Brynhild,Sigurd,8
40,God,World,7
41,Odin,Frigg,7
42,Asgard,Odin,7
43,Njord,Freyja,7
44,Thor,Journey,7
45,Thor,Companions,7
46,Thor,Hymer,7
47,Thor,Head,7
48,Balder,Asas,7
49,Balder,Frigg,7
50,Loke,Gods,7
51,Odin,Thor,7
52,Æger,Brage,7
53,Suttung,Mead,7
54,Bauge,Suttung,7
55,Odin,Njord,7
56,Loke,Dwarf,7
57,Sigurd,Fafner,7
58,Asaland,People,7
59,Svithjod,Odin,7
60,Skade,Abode,7
61,Jupiter,Son,6
62,Pompey,Odin,6
63,Odin,Men,6
64,Sif,Hair,6
65,Henrede,Son,6
66,Vingethor,Son,6
67,Har,Gods,6
68,Loke,Frigg,6
69,Thor,Goats,6
70,Idun,Apples,6
71,Loke,Name,6
72,Skirner,Frey,6
73,Loke,Asas,6
74,Thor,Man,6
75,Frey,Gerd,6
76,Odin,Names,6
77,Thor,Home,6
78,Loke,Son,6
79,Thor,Night,6
80,Thor,Skrymer,6
81,Thjalfe,Race,6
82,Thor,Foot,6
83,Odin,Head,6
84,Odin,Home,6
85,Bolverk,Bauge,6
86,Suttung,Bolverk,6
87,Hrungner,Thor,6
88,Loke,Thread,6
89,Fafner,Regin,6
90,Sigurd,Sword,6
91,Gjuke,Sigurd,6
92,Hogne,Sigurd,6
93,Frode,Mill,6
94,Vog,King,6
95,Hedin,Hogne,6
96,Great,Svithjod,6
97,Vanaland,People,6
98,Sisters,Fate,6
99,Alfather,Abode,6
100,Balder,Abode,6
101,Odin,Time,5
102,Moda,Son,5
103,Magi,Son,5
104,Saxland,Sons,5
105,Odin,Country,5
106,Odin,Balder,5
107,Svithjod,Sweden,5
108,Odin,Things,5
109,Gefjun,Land,5
110,Edda,Ganglere,5
111,Asgard,Gods,5
112,Mimer,Ash,5
113,Urd,Skuld,5
114,Urd,Fountain,5
115,Thor,Men,5
116,Njord,Noatun,5
117,Freyja,Asas,5
118,Thor,Son,5
119,Loke,Laufey,5
120,Freyja,Names,5
121,Lay,Grimner,5
122,Loke,Death,5
123,Loke,Feet,5
124,Thor,Companion,5
125,Thor,Bonde,5
126,Loke,End,5
127,Huge,Thjalfe,5
128,Thor,Utgard-loke,5
129,Thor,Air,5
130,Thor,Giant,5
131,Loke,Ring,5
132,Balder,Hermod,5
133,Odin,Asgard,5
134,Idun,Loke,5
135,Bauge,Mead,5
136,Hence,Odin,5
137,Odin,Hrungner,5
138,Thor,Giants,5
139,Thor,Flint-stone,5
140,Æger,Fire,5
141,Fafner,Gold,5
142,Regin,Sigurd,5
143,Sigurd,Gjuke,5
144,Gunnar,Gudrun,5
145,Brynhild,Gunnar,5
146,Brynhild,Gudrun,5
147,Sorle,Hamder,5
148,Krake,Name,5
149,Krake,King,5
150,Hogne,Hedin,5
151,Odin,Gylfe,5
152,Romulus,History,5
153,Svithjod,People,5
154,Heimdal,Abode,5
155,Dardanos,Son,4
156,Frigg,Odin,4
157,Loride,Son,4
158,Bedvig,Son,4
159,Atra,Son,4
160,Annan,Son,4
161,Heremod,Son,4
162,Skjaldun,Son,4
163,Skjold,Fridleif,4
164,Bjar,Son,4
165,Fridleif,Son,4
166,Odin,Wife,4
167,Vestfal,Son,4
168,Brander,Son,4
169,Froda,Son,4
170,Freovit,Son,4
171,Odin,Journey,4
172,Seeland,Land,4
173,Sweden,Lake,4
174,Lake,Malar,4
175,Gefjun,Gylfe,4
176,Denmark,Oxen,4
177,Har,Alfather,4
178,Herjan,Hnikar,4
179,Hel,World,4
180,Niflheim,Hvergelmer,4
181,Vala,Sun,4
182,Muspelheim,Niflheim,4
183,Ymer,Har,4
184,Grimner,Lay,4
185,Asgard,Place,4
186,Odin,World,4
187,Jord,Son,4
188,Vala,Gods,4
189,Prophecy,Gods,4
190,Ygdrasil,Ash,4
191,Hvergelmer,Nidhug,4
192,Prophecy,Mimer,4
193,Har,Men,4
194,Urd,Har,4
195,Thor,Gods,4
196,Thor,Chariot,4
197,Balder,Things,4
198,Njord,Daughter,4
199,Frey,Name,4
200,Freyja,Odin,4
201,Tyr,Hand,4
202,Tyr,Wolf,4
203,Brage,Asas,4
204,Ragnarok,Gods,4
205,Thor,Odin,4
206,Sif,Thor,4
207,Odin,Chapter,4
208,Freyja,Oder,4
209,Thor,Giantess,4
210,Frey,Skirner,4
211,Frey,Long,4
212,Ganglere,Food,4
213,Skidbladner,Odin,4
214,Odin,Sleipner,4
215,Thor,Mjolner,4
216,Thor,Strength,4
