,names,visual
0,shadow,0
1,ring,1
2,sword,1
3,bird,1
4,tree,1
7,farmer,1
8,snow,1
9,hunter,1
11,ruins,1
12,elements,0
13,flight,1
14,musician,1
15,triumph,1
16,ark,1
17,eagle,1
18,love,1
19,bow,1
20,salvation,0
22,body,1
23,twilight,1
24,birds,1
25,venus,1
27,branch,1
28,hero,1
29,laurel,1
30,chariot,1
31,lover,1
32,procession,1
33,prince,1
34,relief,1
38,cold,1
39,jupiter,1
41,animals,1
43,wine,1
44,column,1
45,eight,0
47,hair,1
48,hand,1
50,devil,1
51,object,0
52,goblet,1
53,treasure,1
54,light,1
57,heaven,1
58,bell,1
59,wolf,1
61,meadow,1
62,fire,1
63,earth,1
64,valley,1
65,arrow,1
66,lion,1
67,child,1
72,vessel,1
73,woman,1
74,world,1
75,shepherd,1
76,hat,1
78,head,1
80,egypt,1
81,music,1
83,journey,1
84,marks,0
86,bear,1
87,four,0
88,twelve,0
94,return,0
99,cow,1
100,apollo,1
101,storm,1
103,power,1
105,fall,0
106,figures,0
107,six,0
108,cross,1
109,steps,0
110,moon,1
114,bath,1
117,mask,1
118,nature,1
119,stone,1
120,strength,1
122,drink,1
123,darkness,1
124,horse,1
125,box,1
127,flute,1
129,city,1
130,matter,0
131,horns,1
132,desert,1
133,crown,1
135,mother,1
136,sound,0
138,secret,1
139,lamp,1
140,night,1
141,fountain,1
144,oak,0
146,rock,1
148,father,1
149,mirror,1
150,white,1
151,stars,1
152,names,0
153,ages,0
155,blood,1
158,sun,1
160,wall,1
162,death,1
163,window,1
164,vine,1
165,wings,1
166,destruction,1
169,bridge,1
171,giant,1
172,hunt,1
174,pillar,1
176,heart,1
177,dwarf,1
178,creation,0
180,knife,1
181,ten,1
182,crowd,1
184,wheel,1
185,wood,1
186,dog,1
187,dust,1
189,clouds,1
190,waves,1
195,chain,1
197,shape,0
200,fish,1
203,centre,0
204,seasons,1
206,pan,1
207,throne,1
209,castle,1
212,point,1
213,circle,1
215,fruit,1
217,stag,1
218,eye,1
219,sea,1
220,emperor,1
222,king,1
224,garden,1
225,man,1
226,numbers,1
229,radiance,1
231,west,1
232,marriage,1
233,weaving,1
236,forest,1
239,time,1
240,halo,1
241,mouth,1
242,water,1
244,ass,1
245,garland,1
246,voyage,1
247,cloak,1
249,double,0
251,book,1
252,house,1
253,dove,1
257,eve,1
258,palace,1
259,colour,0
262,space,1
263,dance,1
264,victory,1
265,instruments,1
266,basket,1
267,one,0
268,combat,1
269,hell,1
270,fight,1
271,thorn,1
272,room,1
273,ivy,1
274,war,1
275,skull,1
277,skin,1
279,level,0
280,gold,1
281,apple,1
282,door,1
283,well,1
284,dragon,1
285,thread,1
290,hours,0
294,air,1
295,life,1
297,foot,1
300,nymphs,1
301,image,0
303,island,1
304,seven,0
305,bottle,1
307,three,0
309,hare,1
310,mist,1
311,arm,1
313,sign,1
314,clothes,1
315,wind,1
316,paradise,1
317,temple,1
318,choice,0
323,pomegranate,1
324,warriors,1
325,year,0
326,ship,1
327,boat,1
328,mountain,1
330,serpent,1
331,tower,1
332,river,1
333,crystal,1
334,sacrifice,1
335,tomb,1
338,fields,1
339,disguise,1
340,mars,1
