Source,Target
air,bird
air,centre
air,disk
air,eagle
air,father
air,man
air,sound
air,stone
air,water
air,wind
apollo,arrow
apollo,bow
apollo,twins
arm,fight
arm,space
arrow,apollo
arrow,bow
ash,dust
belt,fool
bird,dove
bird,eagle
bird,flight
bird,hand
bird,phoenix
blood,flower
blood,man
blood,mars
blood,mother
blood,weapons
blood,wine
boar,hercules
body,belt
body,bird
body,crown
body,eye
body,foot
body,hair
body,hand
body,head
body,heart
body,heaven
body,house
body,king
body,man
body,ocean
body,power
body,reins
body,shadow
body,ship
body,stone
body,sun
body,tomb
body,woman
bolt,oak
book,love
book,steps
bow,apollo
branch,lance
branch,sword
bull,blood
bull,dog
bull,hercules
bull,lion
bull,man
bull,twins
bull,victory
centre,fall
centre,fire
centre,fool
centre,heart
centre,hell
centre,twelve
centre,palace
centre,point
centre,power
centre,ship
centre,space
centre,temple
centre,time
centre,well
chariot,reins
chariot,twins
child,eye
choice,treasure
circle,centre
circle,dance
circle,eye
circle,hand
circle,twelve
circle,ring
circle,time
circle,year
city,woman
clouds,centre
clouds,heaven
clouds,hours
clouds,king
clouds,neptune
clouds,steps
clouds,water
combat,destruction
combat,fight
combat,hero
combat,war
combat,weapons
crown,apollo
crown,child
crown,city
crown,head
crown,heart
crown,jupiter
crown,victory
dance,ring
darkness,eagle
darkness,earth
darkness,journey
darkness,night
darkness,twins
darkness,weapons
death,ash
death,bird
death,dove
death,flower
death,hand
death,horse
death,lake
death,loss
death,mars
death,mother
death,night
death,phoenix
death,return
death,space
death,stone
death,sword
death,water
death,wood
death,year
destruction,dust
destruction,eye
destruction,fire
destruction,phoenix
destruction,return
destruction,ship
destruction,space
destruction,weapons
diana,arrow
disk,circle
disk,crown
disk,sun
disk,time
door,stone
dove,hand
dust,ash
dust,stone
eagle,bird
eagle,funereal
eagle,hercules
eagle,jupiter
eagle,king
eagle,lion
eagle,phoenix
earth,air
earth,bull
earth,death
earth,foot
earth,gold
earth,guardian
earth,head
earth,heart
earth,heaven
earth,hell
earth,king
earth,lion
earth,lyre
earth,man
earth,oak
earth,ocean
earth,saturn
earth,space
earth,steps
earth,sword
earth,temple
earth,tower
earth,water
earth,weapons
eye,hand
eye,man
eye,space
fall,flight
fall,hell
fall,king
fall,twins
fall,year
father,bull
father,eagle
father,king
father,twins
fight,sword
fire,air
fire,ash
fire,bull
fire,centre
fire,chariot
fire,destruction
