,Source,Target,Weight
0,Ulysses,Thou,51
1,Ulysses,Son,36
2,Ulysses,Chief,29
3,Ulysses,Ever-wise,28
4,Telemachus,Discrete,26
5,Ulysses,Thee,25
6,Ulysses,Suitors,24
7,Ulysses,Telemachus,22
8,Ulysses,Home,22
9,Gods,Ulysses,21
10,Gods,Jove,21
11,Gods,Thee,20
12,Penelope,Thou,18
13,Nestor,Son,18
14,Ulysses,House,17
15,Ulysses,Return,16
16,Ulysses,Eumæus,16
17,Jove,Ulysses,15
18,Gods,Thou,15
19,Goddess,Thou,15
20,Ulysses,Hero,15
21,Pallas,Jove,14
22,Jove,Hath,14
23,Pallas,Goddess,14
24,Gods,Thy,14
25,Telemachus,Son,14
26,Ulysses,Thy,14
27,Ulysses,Sons,14
28,God,Thou,14
29,Gods,Heav,13
30,Ulysses,Hath,13
31,Ulysses,Pallas,13
32,Nestor,Sons,13
33,Hero,Thou,13
34,Jove,Thou,13
35,Aurora,Daughter,13
36,Ulysses,Penelope,13
37,Eumæus,Didst,13
38,Chief,Son,12
39,Telemachus,Thou,12
40,Chief,Thou,12
41,Pallas,Telemachus,12
42,Hero,Son,12
43,Pallas,Ulysses,12
44,Ulysses,Heart,12
45,Ulysses,Gods,12
46,Aurora,Dawn,12
47,Gods,Home,12
48,Phæacia,Sons,12
49,Jove,Daughter,11
50,Ulysses,Palace,11
51,Pallas,Form,11
52,Jove,Thy,11
53,Ulysses,Man,11
54,Gods,Man,11
55,Ulysses,Jove,11
56,Ulysses,Alcinoüs,11
57,Eumæus,Ulysses,11
58,Jove,Supreme,10
59,Ithaca,Ulysses,10
60,Shaker,Shores,10
61,Goddess,Ulysses,10
62,Gods,Hath,10
63,Telemachus,Father,10
64,Pallas,Thou,10
65,Ithaca,Thee,10
66,Chief,Thy,10
67,Ulysses,Thence,10
68,Peleus,Son,10
69,Nestor,Telemachus,10
70,God,Thee,10
71,Atreus,Son,10
72,Pallas,Son,10
73,Ulysses,Daughter,10
74,Eumæus,Thou,10
75,Gods,Minerva,9
76,Ulysses,Minerva,9
77,Jove,Thee,9
78,Jove,Heav,9
79,Agamemnon,Son,9
80,Goddess,Daughter,9
81,Ulysses,Eyes,9
82,Ulysses,Sire,9
83,Antinoüs,Son,9
84,Ulysses,King,9
85,Ithaca,Thy,9
86,Gods,House,9
87,Euryclea,Son,9
88,Ulysses,Ilium,9
89,Jove,Divine,9
90,Euryclea,Nurse,9
91,Jove,Pallas,9
92,Aurora,Look,9
93,Achaia,Sons,9
94,Jove,Gods,9
95,Ulysses,Father,9
96,Ulysses,Hand,9
97,Ulysses,Art,9
98,Ulysses,Bow,9
99,Gods,Return,8
100,Ulysses,Ithaca,8
101,Ulysses,Form,8
102,Jove,Sire,8
103,King,Son,8
104,Ithaca,Thou,8
105,Minerva,Goddess,8
106,Ulysses,Hence,8
107,Gods,Chief,8
108,Ulysses,Stranger,8
109,Pallas,Daughter,8
110,Icarius,Daughter,8
111,Jove,Telemachus,8
112,Penelope,Son,8
113,Ulysses,Will,8
114,Goddess,Son,8
115,Telemachus,Nestor,8
116,Jove,None,8
117,Jove,Son,8
118,Gods,Daughter,8
119,Laertes,Son,8
120,Telemachus,Thee,8
121,Goddess,Jove,8
122,Ulysses,Phæacia,8
123,Ulysses,Death,8
124,Gods,Which,8
125,Ulysses,Hast,8
126,Telemachus,Eumæus,8
127,Penelope,Ulysses,8
128,Ulysses,Knees,8
129,Gods,Telemachus,7
130,Minerva,Ulysses,7
131,God,Hath,7
132,God,Ulysses,7
133,Ulysses,Isle,7
134,Pylus,Sire,7
135,Telemachus,Mother,7
136,Hero,Return,7
137,Eupithes,Son,7
138,Ulysses,Friends,7
139,Ulysses,Woes,7
140,Gods,Greeks,7
141,Jove,Father,7
142,Ulysses,Friend,7
143,Gods,Day,7
144,Jove,Thus,7
145,Nestor,Pisistratus,7
146,Nestor,Chief,7
147,Gods,Son,7
