Source,Target
air,birds
air,father
air,man
air,sound
air,stone
air,water
air,wind
apollo,arrow
apollo,bow
arm,fight
arrow,apollo
arrow,bow
birds,hercules
birds,king
blood,man
blood,mars
blood,mother
blood,wine
boar,hercules
book,love
book,steps
bow,apollo
bull,blood
bull,cloak
bull,dog
bull,hercules
bull,man
cave,mother
cave,treasure
cave,water
child,eye
city,woman
cloak,blood
clouds,king
clouds,neptune
clouds,steps
clouds,water
coffer,heart
darkness,earth
darkness,night
death,hand
death,horse
death,loss
death,mars
death,mother
death,night
death,nymphs
death,return
death,room
death,stone
death,sword
death,water
death,west
death,year
destruction,dust
destruction,eve
destruction,eye
destruction,fire
destruction,return
destruction,ship
destruction,west
diana,arrow
door,stone
dust,stone
earth,air
earth,bull
earth,death
earth,foot
earth,gold
earth,head
earth,heart
earth,king
earth,lotus
earth,man
earth,ocean
earth,saturn
earth,steps
earth,sword
earth,water
eve,woman
eye,cyclops
eye,hand
eye,man
fall,flight
fall,king
fall,year
father,bull
father,king
father,lotus
father,room
father,staff
fight,sword
fire,air
fire,bull
fire,chariot
fire,destruction
fire,dust
fire,eye
fire,father
fire,head
fire,horse
fire,life
fire,man
fire,stone
fire,sword
fire,torch
fire,water
flight,air
flocks,dog
fruit,birds
gold,blood
gold,bull
gold,chariot
gold,dog
gold,heart
gold,king
gold,stone
gold,treasure
hand,birds
hand,blood
hand,boar
hand,bull
hand,cloak
hand,clouds
hand,death
hand,eye
hand,fight
hand,fire
hand,foot
hand,head
hand,horse
hand,house
hand,island
hand,king
hand,loss
hand,man
hand,neptune
hand,ocean
hand,ship
hand,sign
hand,sword
hand,throne
hand,water
hand,wine
head,apollo
head,boar
head,bull
head,eye
head,house
head,man
head,water
head,woman
heart,arrow
heart,coffer
heart,gold
heart,lotus
heart,love
heart,man
heart,palace
hercules,strength
hercules,torch
hero,cloak
hero,hercules
hero,island
hero,king
hero,prince
hero,ship
hero,steps
hero,treasure
honey,blood
horse,harp
house,king
house,mother
house,room
house,stone
house,wall
house,water
island,ocean
island,ship
jupiter,hero
king,blood
king,dance
king,hand
king,man
king,marriage
king,neptune
king,palace
king,prince
king,stranger
king,sun
lance,blood
lead,steps
life,air
life,birds
life,child
life,death
life,destruction
life,eve
life,fire
life,head
life,hero
life,horse
life,house
life,king
life,loss
life,lotus
life,man
life,mars
life,ocean
life,rock
life,saturn
life,sea
life,sword
life,treasure
life,vase
life,water
life,wine
life,year
light,air
light,arrow
light,boar
light,darkness
light,death
light,earth
light,eye
light,father
light,fire
light,gold
light,head
light,king
light,man
light,sound
light,sun
light,sword
light,wall
light,war
lotus,love
love,flight
love,hand
love,harp
love,heart
love,king
love,mars
love,venus
man,blood
man,child
man,dance
man,destruction
man,fire
man,foot
man,gold
man,harp
man,heart
man,hero
man,horse
man,king
man,marriage
man,mother
man,palace
man,rock
man,treasure
man,war
man,water
man,wine
man,woman
man,year
marriage,cloak
marriage,man
mars,horse
mars,steps
mars,sword
mother,bull
mother,dog
mother,horse
mother,ocean
mother,rock
mother,stone
mother,treasure
mother,water
mother,woman
neptune,fight
neptune,horse
neptune,jupiter
night,death
night,eye
night,fire
night,mother
night,water
three,air
three,diana
three,eye
three,gold
three,head
three,heart
three,man
three,neptune
three,nine
three,twelve
three,sign
three,steps
three,stone
three,time
three,woman
three,year
twelve,hercules
twelve,year
ocean,fight
ocean,island
ocean,king
ocean,neptune
ocean,water
ocean,waves
palace,throne
point,bull
point,city
point,eve
point,fire
point,head
point,heart
point,horse
point,king
point,lance
point,lotus
point,neptune
point,ocean
point,time
point,treasure
return,fields
return,fire
return,king
return,nine
return,sea
return,ship
return,steps
return,time
return,water
sacrifice,blood
sacrifice,bull
sacrifice,dog
sacrifice,fight
sacrifice,honey
sacrifice,horse
sacrifice,mars
sacrifice,sword
saturn,child
saturn,death
saturn,stone
sea,horse
sea,man
sea,ocean
sea,ship
sea,water
sea,west
sign,apollo
sign,arm
sign,bolt
sign,cloak
sign,destruction
sign,dog
sign,eye
sign,fight
sign,hero
sign,honey
sign,horse
sign,man
sign,ocean
sign,steps
sign,sword
sign,throne
sign,vase
sign,vessel
sign,wall
sign,water
sound,harp
sound,king
sound,rock
steel,sword
steps,treasure
stone,child
stone,mother
stone,rock
stone,water
strength,fire
strength,light
strength,mother
strength,thighs
sulphur,king
sulphur,man
sulphur,marriage
sun,apollo
sun,bull
sun,chariot
sun,eye
sun,fight
sun,fire
sun,foot
sun,gold
sun,heart
sun,hero
sun,horse
sun,king
sun,man
sun,ocean
sun,prince
sun,ship
sun,staff
sun,time
sun,torch
sun,water
sun,west
sword,blood
sword,book
sword,city
sword,fire
sword,gold
thread,loss
throne,jupiter
time,boar
time,dance
time,death
time,destruction
time,eye
time,fire
time,flocks
time,heart
time,island
time,king
time,neptune
time,saturn
time,sign
time,sword
time,wall
time,water
treasure,gold
treasure,palace
venus,diana
vessel,ship
wall,house
war,blood
war,hero
war,horse
war,lance
war,sword
warriors,hero
water,air
water,basket
water,blood
water,bull
water,destruction
water,fire
water,flight
water,horse
water,life
water,man
water,mother
water,nymphs
water,ocean
waves,horse
west,hand
west,man
west,mother
west,threshold
wind,air
wind,cloak
wind,horse
wine,blood
woman,cave
woman,city
woman,island
woman,man
woman,mother
woman,ocean
year,bull
year,disguise
year,sword
