,AIR,ANIMALS,APOLLO,APPLE,ARK,ARM,ARROW,ASS,BASKET,BATH,BEAR,BELL,BIRD,BIRDS,BLOOD,BOAT,BODY,BOOK,BOTTLE,BOW,BOX,BRANCH,BRIDGE,CASTLE,CHAIN,CHARIOT,CHILD,CIRCLE,CITY,CLOAK,CLOTHES,CLOUDS,COLD,COLUMN,COMBAT,COW,CROSS,CROWD,CROWN,CRYSTAL,DANCE,DARKNESS,DEATH,DESERT,DESTRUCTION,DEVIL,DISGUISE,DOG,DOOR,DOVE,DRAGON,DRINK,DUST,DWARF,EAGLE,EARTH,EGYPT,EMPEROR,EVE,EYE,FARMER,FATHER,FIELDS,FIGHT,FIRE,FISH,FLIGHT,FLUTE,FOOT,FOREST,FOUNTAIN,FRUIT,GARDEN,GARLAND,GIANT,GOBLET,GOLD,HAIR,HALO,HAND,HARE,HAT,HEAD,HEART,HEAVEN,HELL,HERO,HORNS,HORSE,HOUSE,HUNT,HUNTER,INSTRUMENTS,ISLAND,IVY,JOURNEY,JUPITER,KING,KNIFE,LAMP,LAUREL,LIFE,LIGHT,LION,LOVE,LOVER,MAN,MARRIAGE,MARS,MASK,MEADOW,MIRROR,MIST,MOON,MOTHER,MOUNTAIN,MOUTH,MUSIC,MUSICIAN,NATURE,NIGHT,NUMBERS,TEN,NYMPHS,PALACE,PAN,PARADISE,PILLAR,POINT,POMEGRANATE,POWER,PRINCE,PROCESSION,RADIANCE,RELIEF,RING,RIVER,ROCK,ROOM,RUINS,SACRIFICE,SEA,SEASONS,SECRET,SERPENT,SHEPHERD,SHIP,SIGN,SKIN,SKULL,SNOW,SPACE,STAG,STARS,STONE,STORM,STRENGTH,SUN,SWORD,TEMPLE,THORN,THREAD,THRONE,TIME,TOMB,TOWER,TREASURE,TREE,TRIUMPH,TWILIGHT,VALLEY,VENUS,VESSEL,VICTORY,VINE,VOYAGE,WALL,WAR,WARRIORS,WATER,WAVES,WEAVING,WELL,WEST,WHEEL,WHITE,WIND,WINDOW,WINE,WINGS,WOLF,WOMAN,WOOD,WORLD
AIR,115.0,54.0,11.0,3.0,33.0,29.0,11.0,77.0,3.0,5.0,23.0,5.0,34.0,19.0,31.0,12.0,21.0,6.0,3.0,7.0,7.0,5.0,7.0,17.0,17.0,22.0,17.0,24.0,25.0,11.0,15.0,11.0,8.0,16.0,9.0,7.0,32.0,6.0,25.0,7.0,18.0,17.0,41.0,16.0,20.0,16.0,7.0,10.0,11.0,9.0,39.0,4.0,4.0,7.0,39.0,49.0,32.0,14.0,73.0,22.0,6.0,14.0,1.0,17.0,50.0,20.0,19.0,6.0,12.0,14.0,18.0,4.0,13.0,6.0,16.0,4.0,31.0,23.0,12.0,44.0,10.0,97.0,53.0,16.0,45.0,24.0,22.0,16.0,31.0,16.0,6.0,12.0,4.0,15.0,0.0,18.0,12.0,60.0,5.0,7.0,4.0,52.0,43.0,25.0,23.0,7.0,86.0,7.0,17.0,12.0,6.0,23.0,25.0,29.0,27.0,47.0,18.0,34.0,5.0,34.0,20.0,18.0,57.0,8.0,7.0,32.0,7.0,7.0,47.0,5.0,47.0,0.0,17.0,4.0,3.0,52.0,10.0,16.0,8.0,2.0,17.0,26.0,17.0,8.0,32.0,4.0,38.0,81.0,10.0,6.0,8.0,41.0,25.0,12.0,32.0,10.0,18.0,41.0,28.0,35.0,2.0,7.0,8.0,51.0,3.0,22.0,17.0,35.0,17.0,10.0,13.0,7.0,2.0,9.0,16.0,10.0,16.0,50.0,5.0,63.0,11.0,4.0,36.0,19.0,28.0,24.0,21.0,8.0,9.0,21.0,10.0,23.0,7.0,44.0
ANIMALS,54.0,164.0,17.0,8.0,50.0,40.0,16.0,95.0,5.0,11.0,32.0,14.0,60.0,28.0,48.0,20.0,28.0,19.0,4.0,10.0,17.0,8.0,17.0,31.0,28.0,33.0,33.0,34.0,36.0,18.0,28.0,15.0,11.0,32.0,14.0,8.0,53.0,7.0,37.0,9.0,18.0,29.0,54.0,21.0,26.0,24.0,8.0,24.0,14.0,18.0,74.0,13.0,7.0,12.0,63.0,57.0,41.0,26.0,93.0,45.0,15.0,19.0,9.0,25.0,60.0,30.0,19.0,8.0,19.0,14.0,18.0,6.0,14.0,10.0,31.0,13.0,37.0,16.0,12.0,57.0,17.0,127.0,67.0,26.0,56.0,33.0,36.0,34.0,45.0,21.0,11.0,26.0,8.0,14.0,0.0,26.0,14.0,80.0,7.0,10.0,10.0,65.0,49.0,51.0,28.0,10.0,118.0,9.0,22.0,16.0,4.0,32.0,28.0,50.0,40.0,59.0,28.0,53.0,9.0,40.0,29.0,22.0,87.0,9.0,13.0,40.0,7.0,10.0,55.0,8.0,67.0,8.0,37.0,6.0,10.0,68.0,12.0,15.0,15.0,6.0,30.0,33.0,21.0,12.0,45.0,5.0,58.0,104.0,16.0,10.0,8.0,55.0,47.0,21.0,46.0,10.0,27.0,54.0,55.0,57.0,6.0,3.0,11.0,71.0,7.0,26.0,23.0,55.0,25.0,24.0,15.0,9.0,7.0,20.0,16.0,12.0,23.0,70.0,10.0,71.0,10.0,7.0,48.0,29.0,47.0,42.0,21.0,10.0,13.0,36.0,17.0,31.0,13.0,63.0
APOLLO,11.0,17.0,31.0,2.0,12.0,6.0,7.0,24.0,1.0,6.0,8.0,2.0,13.0,9.0,12.0,4.0,11.0,3.0,0.0,6.0,1.0,2.0,4.0,3.0,8.0,9.0,9.0,5.0,6.0,4.0,3.0,3.0,2.0,5.0,3.0,1.0,11.0,2.0,13.0,1.0,1.0,5.0,8.0,4.0,5.0,5.0,1.0,6.0,3.0,2.0,19.0,2.0,1.0,3.0,10.0,15.0,12.0,4.0,21.0,9.0,2.0,3.0,2.0,7.0,13.0,8.0,3.0,2.0,4.0,3.0,4.0,2.0,1.0,6.0,6.0,1.0,10.0,8.0,3.0,10.0,3.0,28.0,14.0,8.0,11.0,6.0,9.0,8.0,10.0,5.0,2.0,2.0,2.0,2.0,0.0,3.0,4.0,16.0,0.0,2.0,6.0,17.0,17.0,13.0,2.0,0.0,23.0,5.0,3.0,4.0,2.0,7.0,10.0,8.0,7.0,13.0,9.0,10.0,0.0,11.0,7.0,1.0,18.0,2.0,2.0,7.0,1.0,3.0,14.0,2.0,15.0,1.0,7.0,1.0,2.0,15.0,1.0,4.0,1.0,1.0,5.0,9.0,9.0,3.0,11.0,2.0,10.0,25.0,3.0,4.0,2.0,7.0,11.0,3.0,8.0,2.0,8.0,20.0,6.0,8.0,3.0,4.0,4.0,18.0,0.0,5.0,4.0,10.0,9.0,6.0,2.0,5.0,3.0,9.0,3.0,2.0,4.0,12.0,2.0,12.0,3.0,1.0,10.0,5.0,5.0,12.0,5.0,3.0,2.0,9.0,4.0,9.0,2.0,14.0
APPLE,3.0,8.0,2.0,15.0,7.0,3.0,3.0,8.0,0.0,1.0,1.0,4.0,7.0,2.0,3.0,1.0,2.0,4.0,2.0,0.0,2.0,2.0,3.0,5.0,5.0,3.0,3.0,6.0,5.0,3.0,4.0,2.0,4.0,5.0,2.0,1.0,6.0,3.0,5.0,1.0,2.0,3.0,5.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,10.0,2.0,2.0,3.0,7.0,3.0,4.0,5.0,8.0,4.0,2.0,0.0,1.0,2.0,6.0,4.0,1.0,3.0,3.0,1.0,3.0,2.0,6.0,1.0,4.0,0.0,5.0,1.0,1.0,3.0,2.0,11.0,4.0,4.0,5.0,5.0,6.0,5.0,4.0,3.0,0.0,3.0,1.0,1.0,0.0,3.0,3.0,6.0,0.0,1.0,0.0,3.0,4.0,5.0,2.0,2.0,10.0,1.0,2.0,3.0,0.0,3.0,5.0,3.0,4.0,8.0,5.0,6.0,2.0,4.0,2.0,2.0,6.0,2.0,2.0,3.0,0.0,2.0,7.0,4.0,5.0,0.0,2.0,0.0,0.0,6.0,3.0,2.0,2.0,1.0,3.0,5.0,1.0,3.0,5.0,0.0,6.0,10.0,2.0,1.0,1.0,7.0,3.0,4.0,3.0,0.0,4.0,5.0,6.0,5.0,1.0,1.0,3.0,6.0,1.0,5.0,6.0,8.0,0.0,6.0,2.0,2.0,1.0,5.0,0.0,2.0,2.0,7.0,2.0,4.0,0.0,0.0,5.0,2.0,6.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0
ARK,33.0,50.0,12.0,7.0,108.0,27.0,8.0,76.0,3.0,6.0,17.0,10.0,35.0,16.0,26.0,11.0,23.0,10.0,4.0,9.0,10.0,7.0,16.0,28.0,14.0,23.0,22.0,29.0,27.0,11.0,18.0,14.0,8.0,19.0,11.0,6.0,38.0,7.0,23.0,8.0,19.0,35.0,38.0,13.0,20.0,15.0,4.0,12.0,11.0,11.0,42.0,12.0,7.0,9.0,39.0,41.0,27.0,13.0,73.0,32.0,11.0,19.0,4.0,18.0,40.0,22.0,17.0,6.0,14.0,9.0,15.0,5.0,10.0,12.0,25.0,11.0,28.0,11.0,10.0,41.0,11.0,93.0,40.0,24.0,43.0,24.0,33.0,25.0,30.0,19.0,7.0,21.0,6.0,12.0,1.0,24.0,18.0,53.0,5.0,9.0,5.0,48.0,41.0,29.0,19.0,7.0,83.0,6.0,19.0,15.0,3.0,20.0,24.0,31.0,29.0,50.0,17.0,33.0,5.0,34.0,26.0,13.0,59.0,8.0,11.0,18.0,7.0,7.0,44.0,6.0,45.0,5.0,25.0,4.0,7.0,51.0,9.0,12.0,13.0,4.0,17.0,30.0,14.0,10.0,28.0,6.0,48.0,79.0,10.0,9.0,6.0,42.0,27.0,15.0,32.0,6.0,20.0,44.0,33.0,36.0,5.0,2.0,6.0,57.0,4.0,16.0,21.0,29.0,14.0,17.0,11.0,11.0,6.0,17.0,10.0,12.0,14.0,51.0,6.0,46.0,5.0,4.0,38.0,21.0,34.0,26.0,13.0,9.0,9.0,23.0,8.0,17.0,12.0,51.0
ARM,29.0,40.0,6.0,3.0,27.0,80.0,8.0,51.0,2.0,6.0,11.0,10.0,22.0,12.0,23.0,9.0,19.0,9.0,2.0,7.0,5.0,7.0,7.0,16.0,15.0,11.0,18.0,23.0,20.0,13.0,15.0,8.0,9.0,15.0,10.0,4.0,27.0,3.0,18.0,6.0,15.0,11.0,26.0,9.0,13.0,10.0,4.0,11.0,11.0,8.0,32.0,5.0,5.0,7.0,30.0,26.0,18.0,10.0,55.0,23.0,9.0,10.0,5.0,18.0,33.0,12.0,10.0,4.0,9.0,10.0,8.0,3.0,5.0,7.0,14.0,7.0,16.0,8.0,7.0,36.0,9.0,70.0,33.0,17.0,34.0,11.0,19.0,18.0,22.0,10.0,5.0,14.0,6.0,6.0,0.0,11.0,10.0,44.0,4.0,7.0,4.0,28.0,26.0,19.0,20.0,8.0,62.0,8.0,19.0,10.0,3.0,16.0,13.0,18.0,19.0,31.0,15.0,27.0,2.0,26.0,11.0,12.0,47.0,5.0,7.0,23.0,8.0,9.0,30.0,5.0,31.0,4.0,13.0,2.0,9.0,35.0,6.0,11.0,7.0,1.0,16.0,17.0,8.0,7.0,19.0,2.0,35.0,59.0,12.0,6.0,4.0,39.0,22.0,7.0,26.0,5.0,11.0,25.0,30.0,29.0,3.0,0.0,7.0,45.0,2.0,15.0,10.0,21.0,11.0,9.0,3.0,9.0,5.0,14.0,10.0,7.0,13.0,46.0,5.0,35.0,5.0,5.0,28.0,17.0,23.0,20.0,12.0,5.0,7.0,21.0,8.0,13.0,4.0,41.0
ARROW,11.0,16.0,7.0,3.0,8.0,8.0,27.0,15.0,0.0,2.0,4.0,4.0,8.0,5.0,8.0,3.0,7.0,4.0,1.0,7.0,3.0,4.0,2.0,5.0,7.0,3.0,3.0,7.0,6.0,3.0,2.0,4.0,2.0,5.0,2.0,1.0,14.0,0.0,10.0,1.0,1.0,1.0,7.0,4.0,5.0,1.0,0.0,2.0,4.0,5.0,11.0,1.0,1.0,1.0,11.0,12.0,6.0,5.0,18.0,7.0,1.0,3.0,1.0,4.0,6.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,7.0,4.0,3.0,8.0,3.0,25.0,11.0,8.0,11.0,4.0,7.0,8.0,5.0,4.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,16.0,1.0,2.0,2.0,9.0,10.0,7.0,6.0,2.0,18.0,4.0,5.0,0.0,0.0,7.0,9.0,7.0,5.0,11.0,5.0,9.0,0.0,6.0,7.0,0.0,15.0,2.0,3.0,8.0,1.0,1.0,12.0,2.0,10.0,3.0,3.0,2.0,1.0,9.0,3.0,3.0,3.0,1.0,3.0,6.0,3.0,3.0,7.0,2.0,13.0,18.0,1.0,1.0,2.0,10.0,6.0,1.0,8.0,1.0,5.0,12.0,9.0,9.0,2.0,0.0,3.0,14.0,3.0,4.0,5.0,13.0,6.0,3.0,2.0,3.0,2.0,6.0,2.0,1.0,7.0,14.0,2.0,7.0,1.0,0.0,9.0,5.0,10.0,6.0,5.0,4.0,2.0,7.0,5.0,4.0,4.0,11.0
ASS,77.0,95.0,24.0,8.0,76.0,51.0,15.0,268.0,6.0,10.0,42.0,15.0,60.0,30.0,54.0,20.0,46.0,20.0,7.0,19.0,17.0,13.0,17.0,37.0,26.0,35.0,37.0,53.0,55.0,18.0,30.0,17.0,12.0,32.0,13.0,13.0,73.0,10.0,46.0,13.0,27.0,34.0,85.0,23.0,30.0,28.0,8.0,23.0,19.0,15.0,81.0,13.0,11.0,14.0,63.0,91.0,65.0,27.0,162.0,48.0,14.0,25.0,9.0,26.0,79.0,36.0,23.0,8.0,20.0,21.0,22.0,5.0,22.0,16.0,37.0,13.0,57.0,18.0,16.0,77.0,18.0,228.0,83.0,34.0,76.0,39.0,49.0,43.0,49.0,31.0,12.0,29.0,12.0,21.0,2.0,35.0,25.0,115.0,8.0,14.0,9.0,97.0,71.0,53.0,41.0,10.0,183.0,11.0,34.0,21.0,8.0,40.0,42.0,60.0,50.0,83.0,29.0,56.0,6.0,64.0,46.0,27.0,142.0,13.0,14.0,49.0,12.0,13.0,95.0,8.0,86.0,11.0,36.0,7.0,12.0,113.0,13.0,22.0,18.0,6.0,36.0,55.0,24.0,16.0,57.0,6.0,80.0,163.0,19.0,16.0,8.0,85.0,60.0,23.0,50.0,13.0,32.0,70.0,61.0,74.0,11.0,9.0,10.0,125.0,9.0,33.0,28.0,59.0,34.0,25.0,19.0,16.0,9.0,29.0,21.0,14.0,30.0,99.0,6.0,107.0,14.0,6.0,75.0,40.0,58.0,50.0,30.0,15.0,12.0,42.0,15.0,38.0,19.0,105.0
BASKET,3.0,5.0,1.0,0.0,3.0,2.0,0.0,6.0,11.0,2.0,3.0,0.0,4.0,1.0,4.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,1.0,1.0,5.0,3.0,0.0,2.0,1.0,0.0,4.0,1.0,5.0,2.0,2.0,1.0,5.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,7.0,1.0,0.0,3.0,4.0,2.0,2.0,0.0,6.0,2.0,3.0,0.0,0.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,1.0,2.0,3.0,1.0,6.0,2.0,6.0,6.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,5.0,3.0,2.0,3.0,0.0,8.0,2.0,1.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,0.0,5.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,4.0,2.0,3.0,0.0,5.0,1.0,0.0,6.0,2.0,3.0,0.0,0.0,2.0,4.0,4.0,2.0,5.0,0.0,5.0,5.0,4.0,2.0,2.0,3.0,5.0,2.0,4.0,2.0,1.0,5.0,5.0,4.0,1.0,0.0,1.0,4.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,6.0,2.0,1.0,4.0,0.0,4.0,2.0,2.0,0.0,1.0,2.0,2.0,3.0,1.0,3.0
BATH,5.0,11.0,6.0,1.0,6.0,6.0,2.0,10.0,2.0,13.0,2.0,2.0,7.0,3.0,7.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0,5.0,6.0,4.0,6.0,4.0,3.0,2.0,3.0,3.0,0.0,5.0,3.0,1.0,5.0,2.0,6.0,1.0,2.0,3.0,7.0,3.0,7.0,3.0,1.0,6.0,2.0,3.0,9.0,1.0,2.0,3.0,7.0,5.0,4.0,3.0,11.0,6.0,3.0,2.0,2.0,5.0,9.0,5.0,3.0,3.0,3.0,5.0,5.0,1.0,2.0,2.0,6.0,2.0,5.0,4.0,1.0,7.0,5.0,12.0,6.0,4.0,7.0,4.0,5.0,6.0,6.0,4.0,2.0,2.0,3.0,1.0,0.0,4.0,1.0,9.0,0.0,2.0,3.0,9.0,6.0,6.0,3.0,1.0,9.0,4.0,3.0,3.0,3.0,5.0,5.0,6.0,3.0,10.0,4.0,5.0,0.0,7.0,5.0,2.0,8.0,3.0,3.0,2.0,1.0,3.0,4.0,2.0,5.0,1.0,4.0,1.0,3.0,6.0,3.0,3.0,2.0,2.0,5.0,4.0,2.0,3.0,7.0,1.0,7.0,11.0,3.0,3.0,1.0,7.0,6.0,5.0,8.0,2.0,4.0,5.0,7.0,5.0,1.0,1.0,2.0,8.0,0.0,5.0,3.0,8.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,9.0,2.0,10.0,2.0,3.0,5.0,5.0,5.0,3.0,4.0,2.0,3.0,6.0,3.0,5.0,1.0,6.0
