,Source,Target,Weight
0,Gobhaun,Saor,45
1,Tuatha,Danaan,31
2,Mac,Cecht,26
3,Balor,Son,22
4,Gobhaun,Son,22
5,Son,Gobhaun,20
6,Saor,Son,18
7,Fer,Rogain,18
8,Son,Saor,17
9,Turann,Sons,15
10,Spear,Victory,13
11,Lugh,Sons,13
12,Lugh,Turann,13
13,Brigit,Mantle,12
14,Conary,King,12
15,Sword,Light,11
16,Pooka,Angus,11
17,Aodh,Fiacra,11
18,Fer,Regain,11
19,Angus,Dagda,10
20,Mananaun,Boat,10
21,Midkena,Hill,10
22,Lugh,Lauve,9
23,Lugh,Fauda,9
24,Lugh,Mananaun,9
25,Danaan,Lugh,9
26,Sons,Turann,9
27,Turann,Lugh,9
28,Loch,Lough,9
29,Luimnigh,Lough,9
30,Derg-loch,Lough,9
31,Lough,Reagh,9
32,Lough,'and,9
33,Lough,Murloch,9
34,Balor,Mighty,9
35,Midyir,Ethaun,9
36,Children,Lir,9
37,Fer,Gar,9
38,Fer,Conary,9
39,Lomna,Fool,9
40,Cauldron,Plenty,8
41,Dagda,Son,8
42,Balor,Fomor,8
43,Balor,Eye,8
44,Evil,Eye,8
45,Son,House,8
46,Lugh,Ireland,8
47,Ireland,Wave,8
48,Tuatha,Lugh,8
49,Lough,Gara,8
50,Corrib,Lough,8
51,Lough,Twelve,8
52,Ethaun,Come,8
53,Lir,Children,8
54,Conary,Road,8
55,Conary,Son,8
56,Cow,Plenty,7
57,Brigit,Earth,7
58,Stone,Destiny,7
59,Stone,Earth,7
60,Ireland,Lugh,7
61,Lauve,Fauda,7
62,Balor,Evil,7
63,Saor,Gobhaun,7
64,Land,Wave,7
65,Son,Balor,7
66,Lugh,Balor,7
67,Tuatha,Fomor,7
68,Danaan,Fomor,7
69,Lough,Foyle,7
70,Ree,Lough,7
71,Balor,Strength,7
72,Sea,Ah-ro-he,7
73,Ethaun,Angus,7
74,Ethaun,World,7
75,Come,Ethaun,7
76,Fiacra,Aodh,7
77,Aodh,Conn,7
78,King,Ireland,7
79,Conary,Fer,7
80,Ireland,Danaans,6
81,Fomor,Balor,6
82,Dagda,Cloak,6
83,Balor,Dagda,6
84,Son,Road,6
85,Land,Sea,6
86,Ireland,Day,6
87,Ireland,One,6
88,Lugh,Boat,6
89,Lugh,Music,6
90,Ogma,Nuada,6
91,Lugh,Dun,6
92,Lugh,Ildana,6
93,Lugh,Earth,6
94,Turann,Earth,6
95,Peace,Heaven,6
96,Lough,Neagh,6
97,Mask,Lough,6
98,Strangford,Lough,6
99,Lough,Lakes,6
100,Balor,Bulk,6
101,Lugh,Strike,6
102,Golden,Fly,6
103,Ireland,Ethaun,6
104,Ethaun,King,6
105,Fionnuala,Aodh,6
106,Osric,King,6
107,Osric,Aidan,6
108,Teigue,King,6
109,Teigue,Osric,6
110,Ireland,Conary,6
111,Gar,Fer,6
112,Conary,Bruiden,6
113,Bruiden,Derga,6
114,Mac,Conary,6
115,Conary,Rode,6
116,Bruiden,Conary,6
117,Lomna,Thou,6
118,Earth,Pit,5
119,Destiny,Earth,5
120,Dagda,Cauldron,5
121,Mananaun,Sword,5
122,Danaans,Ireland,5
123,Ireland,Sea,5
124,Dagda,Balor,5
125,Fomorians,Son,5
126,Danaans,Balor,5
127,Gobhaun,House,5
128,Gobhaun,Skin,5
129,Land,Son,5
130,Gobhaun,Fire,5
131,Son,Ireland,5
132,Ireland,Balor,5
133,Ireland,Son,5
134,Balor,Man,5
135,Gobhaun,Boughs,5
136,Gobniu,Cow,5
137,Balor,Daughter,5
138,Lugh,Father,5
139,Light,Lugh,5
140,Ireland,Mountains,5
141,Lugh,Wonder-tales,5
142,Sword,Lugh,5
143,Lugh,Strength,5
144,Fomorians,Lugh,5
145,Faery,Host,5
146,Nuada,Lugh,5
147,Balor,Lugh,5
148,Lugh,Battle,5
149,Turann,Father,5
150,Lugh,Eric,5
151,Turann,Eric,5
152,World,Stars,5
153,Lough,Laeig,5
154,Danaan,Strength,5
155,Lugh,Son,5
156,Fomor,Tuatha,5
157,Balor,Horizon,5
158,Ethaun,Midyir,5
159,World,Shadow,5
160,Shadow,Earth,5
161,World,Midyir,5
162,Ethaun,Eochy,5
163,Ethaun,Birds,5
164,Ethaun,Moy-mell,5
165,Ethaun,Star-flocks,5
166,Aodh,Wonder-tales,5
167,Regain,Fer,5
168,Conary,Faery,5
169,Faery,Hills,5
170,Conary,Thou,5
171,Conary,Peace,5
172,Conary,Mac,5
173,Conary,Cecht,5
174,Conary,Le-fri-flaith,5
175,Fer,Man,5
176,Conary,House,5
177,Champion,Mac,5
178,Champion,Cecht,5
179,Cecht,Conary,5
180,Cecht,Mac,5
181,Mac,Tamer,5
182,Cecht,Tamer,5
183,Cecht,Heroes,5
184,Land,Heart,4
185,Ogma,Dagda,4
186,Earth,Midyir,4
187,Danaan,World,4
188,Spear,Flame,4
189,Dagda,Hands,4
190,Dagda,Angus,4
191,Mananaun,Sea,4
192,Connla,Well,4
193,Land,Silver,4
194,Land,Fleece,4
195,Silver,Fleece,4
196,Moy,Mell,4
197,Island,Destiny,4
198,Danaans,Fomor,4
199,Balor,Spear,4
200,Spear,Lake,4
201,Fomor,Spear,4
202,Danaans,Lugh,4
203,Fomor,Power,4
204,Plenty,Ireland,4
205,Balor,King,4
206,Dagda,Head,4
207,Angus,Balor,4
208,Angus,Son,4
209,Mananaun,Apples,4
210,Mananaun,Horse,4
211,Action,Egg,4
212,Balor,Country,4
213,Angus,Time,4
214,Balor,Danaans,4
215,Danaans,Son,4
216,Dagda,Gobhaun,4
217,Gobhaun,Price,4
218,Saor,Skin,4
219,Gobhaun,Man,4
220,Gobhaun,Father,4
221,Saor,Father,4
222,Son,Dagda,4
223,Son,Man,4
224,Gobhaun,Way,4
225,Saor,Way,4
226,Gobhaun,Woman,4
227,Son,Land,4
228,Son,Father,4
229,Gobhaun,Road,4
230,Saor,Road,4
231,Gobhaun,Balor,4
232,Balor,Fomorians,4
233,Wave,One,4
234,Gobhaun,Ireland,4
235,Balor,Boughs,4
236,Smith,Cow,4
237,Balor,Cow,4
238,Cow,Gobniu,4
239,Cow,Eyes,4
240,Cow,Night,4
241,Ireland,Wonder-tales,4
242,Smith,Sword,4
243,Cow,Cian,4
244,Balor,Apple,4
245,Cian.,Garth,4
246,Balor,Trees,4
247,Lugh,Light,4
248,Mananaun,Lugh,4
249,Ireland,Mananaun,4
250,Fomor,Ireland,4
251,Fomorians,Danaans,4
252,Nuada,Dun,4
253,King,World,4
254,Ireland,Great,4
255,Thoth,Wave,4
256,Ildana,King,4
257,Eye,Lugh,4
258,Lugh,Hill,4
259,Lugh,Sword,4
260,Lugh,Spear,4
261,Fire,Heart,4
262,Fomor,Lugh,4
263,Lugh,Eric-fine,4
264,Turann,Form,4
265,Brian,Urcar,4
266,Turann,Forth,4
267,Turann,Cian,4
268,Turann,Words,4
269,Eastern,World,4
270,Midkena,Sons,4
271,Fauda,Lugh,4
272,Great,Battle,4
273,Salmon,Knowledge,4
274,Turann,Boat,4
275,North,South,4
276,Ireland,Brian,4
277,Turann,Watcher,4
278,Heaven,Strength,4
279,Laeig,Lough,4
280,Tuatha,Strength,4
281,Danaan,Water,4
282,Fomor,Danaan,4
283,Tuatha,Fire,4
284,Danaan,Fire,4
285,Terrible,Balor,4
286,Balor,Blows,4
287,Lugh.,Lugh,4
288,Lugh,Feet,4
289,Lugh,Tuatha,4
290,Sword,Abyss,4
291,Sea,Wave,4
292,Amergin,Name,4
293,Milesians,Tuatha,4
294,Angus,Fuamach,4
295,Midyir,World,4
296,World,Gods,4
297,Ethaun,Worlds,4
298,Angus,Worlds,4
299,World,Dark,4
300,World,Earth,4
301,Bright,Shadow,4
302,Ethaun,Wonder-tales,4
303,Ethaun,Fly,4
304,Queen,Ireland,4
305,Ireland,Crown,4
306,Are,Ethaun,4
307,Ethaun,Troops,4
308,Ireland,King,4
309,Lir,Fionnuala,4
310,Lir,Aodh,4
311,Fionnuala,Fiacra,4
312,Conn.,Aodh,4
313,Fiacra,Conn,4
314,Fionnuala,Conn,4
315,Moyle,Sea,4
316,Lir,Swans,4
317,Conn,Fiacra,4
318,Saint,Kemoc,4
319,Saint,Swans,4
320,Kemoc,Swans,4
321,Osric,House,4
322,Ochone,Chiefs,4
323,Tara,Kings,4
324,Conary,High,4
325,Dessa,Fer,4
326,Fer,Lomna,4
327,Lomna,Conary,4
328,Lomna,Fer,4
329,Fool,Fer,4
330,Conary,Warriors,4
331,Conary,Feast,4
332,Conary,Birds,4
333,Tara,Conary,4
334,Fer,Thou,4
335,Fer,Tears,4
336,Conary,Ingcel,4
337,Conary,Silver,4
338,Conary,Death,4
339,Conary,Horsemen,4
340,Conary,Gifts,4
341,Fer,Champion,4
342,Fer,Mac,4
343,Bruiden,Fire,4
344,Lomna,Head,4
345,Conall,Carnach,4
346,Fool,Destruction,4
347,Mac,Heroes,4
348,King,Mac,4
349,King,Cecht,4
350,Dagda,People,3
351,Angus,Music,3
352,Earth,Chaos,3
353,Dagda,Earth,3
354,Earth,Flame,3
355,Earth,Brigit,3
356,Sun,Name,3
357,Earth,Sword,3
358,Earth,Light,3
359,Sword,Brigit,3
360,Sword,Cauldron,3
361,Sword,Stone,3
362,Light,Spear,3
363,Brigit,Spear,3
364,Brigit,Victory,3
365,Brigit,Destiny,3
366,Plenty,Stone,3
367,Spear,Stone,3
368,Victory,Stone,3
369,Danaan,City,3
370,Dagda,Plenty,3
371,Midyir,Flame,3
372,Splendour,Brigit,3
373,Angus,Gods,3
