Source,Target
mars,fight
neptune,apollo
mars,war
neptune,earth
mars,venus
mars,time
mars,hand
king,ocean
apollo,father
mars,warriors
sun,earth
mars,heaven
apollo,fight
mars,man
mars,blood
king,apollo
phoenix,tent
apollo,neptune
shield,man
apollo,flight
king,father
vulcan,mother
father,heaven
mother,flocks
king,heart
venus,mars
diana,bow
apollo,mars
mars,apollo
mars,fire
apollo,bow
shield,helmet
king,head
apollo,fall
mars,dust
neptune,hand
king,fire
vulcan,hand
vulcan,book
mercury,tent
neptune,head
apollo,sun
sceptre,hand
saturn,sceptre
father,sun
fall,fire
king,time
hercules,time
hercules,city
mars,house
venus,man
venus,book
earth,sun
mars,shield
king,heaven
king,hand
king,prince
mars,flight
mars,book
hero,fight
sun,king
venus,chariot
mars,mercury
apollo,shield
apollo,time
venus,hand
apollo,warriors
prince,hand
mars,lance
mars,heart
mars,power
hero,hand
twelve,year
war,man
mars,bow
sun,night
ocean,night
mars,seven
twelve,man
twelve,foot
mother,father
saturn,war
apollo,wall
saturn,hand
neptune,tent
king,mars
neptune,king
neptune,arm
neptune,flight
mars,arm
father,earth
venus,father
apollo,clouds
apollo,arm
vulcan,shield
twelve,book
apollo,book
funereal,pillar
funereal,tomb
funereal,man
apollo,blood
father,hand
vulcan,palace
king,arm
mercury,vulcan
king,neptune
neptune,mars
apollo,diana
apollo,dove
king,mercury
