Source,Target
hero,return
hero,house
hero,king
cyclops,man
cyclops,cave
king,house
king,ocean
king,neptune
neptune,waves
neptune,father
king,boar
neptune,cyclops
neptune,eye
cyclops,eye
hero,city
cyclops,three
ocean,neptune
hero,child
king,sun
hero,man
vulcan,hero
vulcan,king
vulcan,return
vulcan,house
king,return
neptune,sea
neptune,heart
hero,mother
king,father
king,hand
hero,wine
mars,vulcan
vulcan,mars
neptune,mars
cyclops,wine
cyclops,flocks
cyclops,staff
ocean,rock
ocean,sun
king,bull
king,sacrifice
ocean,bull
ocean,boar
ocean,sacrifice
king,earth
neptune,flocks
hero,life
west,night
hero,throne
hero,hand
hero,stranger
apollo,bow
prince,stranger
prince,hero
hero,heart
prince,bow
hero,death
