Source,Target
balder,world
balder,life
balder,death
jupiter,neptune
jupiter,father
jupiter,earth
saturn,jupiter
moon,sun
moon,earth
balder,horse
balder,woman
balder,mistletoe
balder,ship
mars,wolf
balder,light
balder,heaven
eve,world
eve,time
sea,sun
saturn,time
saturn,island
saturn,strength
jupiter,saturn
jupiter,heaven
jupiter,hell
neptune,earth
neptune,hell
venus,ages
venus,love
jupiter,time
time,sea
time,earth
earth,ages
clouds,creation
night,man
night,heaven
night,horse
night,earth
moon,marriage
moon,man
sun,world
balder,foot
balder,plants
balder,hair
wine,drink
wine,father
balder,dreams
balder,fire
balder,water
balder,earth
balder,west
west,mistletoe
balder,weapons
balder,journey
balder,steed
balder,night
fire,air
fire,sea
fire,heat
weapons,woman
heart,eagle
heart,man
emperor,earth
emperor,king
mars,mirror
sea,cold
sea,river
sea,city
sea,room
balder,victory
father,ages
names,hat
balder,gold
darkness,world
darkness,names
world,names
mountain,flame
balder,year
balder,return
balder,destruction
balder,time
balder,blood
