TERM,DEFINITION
ABANDONMENT,"The symbolism of abandonment has a similar range of reference to that of the “lost object,” and they are both parallel to the symbolism of death and resurrection (31). To feel abandoned is essentially to feel forsaken by the “god within us,” that is to lose sight of the eternal light in the human spirit. This imparts to the individual’s existence a sense of estrangement—to which the labyrinth theme is also related."
ABLUTION,"To quote Oswald Wirth: “In alchemy the subject having undergone nigredo (blackness) followed by death and putrefaction is subjected to ablution an operation which makes use of the slow dripping of condensation from the vapours that rise from the carcass when a moderate flame applied externally is alternately raised and lowered in intensity. These continual drops serve to bring about the progressive washing of the material which changes from black to grey and then gradually to white. The whiteness is an indication of the success of the first part of the Magnum Opus. The adept worker achieves this only by purifying his soul of all that commonly agitates it” (59). Washing then symbolizes the purification not so much of objective and external evil as of subjective and inner evils which we might call “private.” It is hardly necessary to add that the latter kind of purification is much more difficult and painful than the former since what it sets out to destroy is something which is bonded to existence itself with all its vital urges. The principle involved in this alchemic process is that implied in the maxim “Deny thyself . . . ,” and an indispensable precept for true moral progress."
ABNORMALITY,In primitive cultures maimed beings as well as madmen were believed to possess supernatural powers—the shamans for example. In primitive magico-religious thinking the outstanding ability of physically abnormal individuals is not regarded as it is in modern psychology as having been developed in compensation for the abnormality but rather the other way round: the maiming the abnormality the tragic destiny were the price the individual had to pay for some inborn extraordinary gift—often the gift of prophecy. This belief was universal (9). In some mythologies maimed beings are connected with the moon and its phases; there are mythic lunar beings with only one hand or one foot who have the magic power to cure disease bring rain and so on (17). This conception of abnormality is not restricted to animate beings but applies equally to objects. According to Cola Alberich abnormal objects have always been considered as particularly useful in warding off malignant influences. Such objects are: stones with embedded fossils; amulets shaped like a six-fingered or a four-fingered hand; double almonds in one shell; unusually shaped grains of corn etc. (12). There is an interesting parallel to be drawn between the spontaneous interest evinced by Primitive Man in strange or abnormal objects and the more deliberate “poetic” treatment bestowed by surrealists upon such objects as elements in the symbolic process. The belief in the magic powers of abnormal objects is connected with the symbolism of the jester (that is the inverted king the sacrificial victim) and with the symbolism of the moon.
ABRACADABRA,Many words and phrases relating to rituals talismans and pentacles have a symbolic meaning either in themselves or in the way they are used which is expressed either phonetically or more frequently graphically. This word was in frequent use during the Middle Ages as a magic formula. It is derived from the Hebrew phrase abreq ad hâbra meaning “hurl your thunderbolt even unto death.” It was usually inscribed inside an inverted triangle or was set out so that it formed a triangle (39) thus:
ABRAXAS,This name frequently appears engraved on stones that are used as amulets or talismans of Mithraic and Gnostic tradition. According to Leisegang Abraxas is identified with Mithras in the role of mediator between humanity and the one God the invincible Sun venerated in late Antiquity the 3rd and 4th centuries until monotheism appeared. To the Persians Abraxas-Mithra is the intermediary between Ahura Mazda and Ahriman between Good and Evil.
ABYSS,"The abyss in any form has a fascinating dual significance. On the one hand it is a symbol of depth in general; on the other a symbol of inferiority. The attraction of the abyss lies in the fact that these two aspects are inextricably linked together. Most ancient or primitive peoples have at one time or another identified certain breaks in the earth’s surface or marine depths with the abyss. Among the Celts and other peoples the abyss was inside mountains; in Ireland Japan and the South Sea islands it was at the bottom of seas and lakes; among Mediterranean peoples it was just beyond the horizon; for the Australian aborigines the Milky Way is the abyss par excellence. The abyss is usually identified with the “land of the dead,” the underworld and is hence though not always associated with the Great Mother and earth-god cults (35). The association between the nether world and the bottom of seas or lakes explains many aspects of legends in which palaces or beings emerge from an abyss of water. After King Arthur’s death his sword thrown into the lake by his command is caught as it falls and before being drawn down to the bottom flourished by a hand which emerges from the waters."
ACACIA,This shrub which bears white or pink blooms was considered sacred by the Egyptians partly no doubt because of its dual coloration and also because of the great mystic importance of the white-red principle (8). In Hermetic doctrine according to Gérard de Nerval in his Voyage en Orient (9) it symbolizes the testament of Hiram which teaches that “one must know how to die in order to live again in eternity.” It occurs with this particular symbolic meaning (that is the soul and immortality) in Christian art especially the Romanesque (20).
ACANTHUS,The acanthus leaf a very common ornamental motif in architecture was during the Middle Ages invested with a definite symbolism derived from its two essential characteristics: its growth and its thorns. The latter is a symbol of solicitude about lowly things. According to Bishop Melito of Sardis they signify the awareness and the pain of sin. We may mention here that in the Diary of Weininger there is no difference between guilt and punishment. A more generalized symbolism alluding perhaps to natural life itself with its tendency towards regression or at least towards stunting appears in the Gospels in the parable of the sower (Luke viii 7) where we read that some of the seed (of spiritual principles and of salvation) fell amongst thorns and was choked. And in the Old Testament (Genesis iii 18) the Lord tells man that the earth will yield to him thorns and thistles (46).
ACROBAT,Because of his acrobatics which often involve reversing the normal position of the human body by standing on his hands the acrobat is a living symbol of inversion or reversal that is to say of that need which always arises in time of crisis (personal social or collective historical crises) to upset and reverse the established order: idealism turns into materialism; meekness into aggressiveness; serenity into tragedy; order into disorder or vice versa. Acrobats are related to other aspects of the circus and in particular to the mystery of the Hanged Man in the Tarot pack which has a similar significance.
ACTIVITY,In the mystic sense there is no activity other than spiritual movement towards evolution and salvation; any other form of activity is merely agitation and not true activity. On this point the West is in full accord with the East for according to the doctrine of Yoga the highest state (sattva) characterized by outward calm is that of greatest activity (the active subjugation of the lower impulses and their subsequent sublimation). Thus it is not surprising that Cesare Ripa in his Iconologia through a process of assimilation with the exalted images of the Archangel St. Michael and of St. George represents “Virtuous Action” as a warrior armed in a gilt cuirass holding a book in one hand and in the other a lance poised ready to be thrust into the head of a huge serpent which he has just vanquished. The head of Vice crushed under his left foot completes the allegory. Hence every struggle or victory on the material plane has its counterpart in the realm of the spirit. Thus according to Islamic tradition the “Holy War” (the struggle against the infidel depicted with weapons held at the ready) is simply an image of the “Great Holy War” (the struggle of the faithful against the Powers of Evil).
ADAM,"Primordial Man. The name is derived from the Hebrew adama (= earth). G. G. Scholem in On the Kabbalah and Its Symbolism (London 1965) states that initially Adam is conceived as “a vast representation of the power of the universe,” which is concentrated in him. Hence the equation macrocosm = microcosm. In both the Bible and the platonic doctrine of the androgyne Eve appears as an excision of the first being which integrated sexual duality. Do the tree and the serpent reproduce the same duality on another symbolic plane? Or do they express a different duality to that contained in the first human couple which is the symbol of the internal and external excision of the living being? Eve in the rôle of persuader appears as a mediator between the serpent (the source of evil which William Blake likened to energy) and man who would have been free and indifferent and who would have “fallen” only under pressure."
ADVENTURE,This symbolizes a quest for the “meaning of life” (danger combat love abandonment encounter help loss conquest death). According to Bezzola in the work of Chrétien de Troyes adventure is always a symbolic expression of “what the poet considers the essence of all things”; which justifies its relevance in Chivalry or adventure novels. Yet the divergent “levels” serve either to elevate the myth to the symbolic or lower it to a mere dynamic of the adventure in itself. The adventure’s ethical component can be seen in the struggle against evil while the search for the beloved expresses the erotic-spiritual.
AEROLITE,"A symbol of spiritual life which has descended upon earth. A symbol of revelation; of the “other world” made accessible; and of the heavenly fire in its creative aspect i.e. as seed. Tradition has it that just as there are “upper waters,” there is also “upper fire.” The stars symbolize the unattainable aspect of this fire; aerolites and meteorites are its messengers and hence they are sometimes associated with angels and other heavenly hierarchies (37). It must be remembered that the iron first used by man was meteoric (which may account for the common root of the word sidereal and other words beginning with the prefix sidero-). The belief in a symbiotic relationship between the heavenly and the terrestrial worlds lies at the root of the idea of the “cosmic marriage,” a concept with which primitive astrobiological thought sought to explain the analogy as well as the tangential relationship between the antithetical worlds of heaven and earth."
