,0
0,shadow
1,ring
2,sword
3,bird
4,tree
7,farmer
8,snow
9,hunter
11,ruins
12,elements
13,flight
14,musician
15,triumph
16,ark
17,eagle
18,love
19,bow
20,salvation
22,body
23,twilight
24,birds
25,venus
27,branch
28,hero
29,laurel
30,chariot
31,lover
32,procession
33,prince
34,relief
38,cold
39,jupiter
41,animals
43,wine
44,column
45,eight
47,hair
48,hand
50,devil
51,object
52,goblet
53,treasure
54,light
57,heaven
58,bell
59,wolf
61,meadow
62,fire
63,earth
64,valley
65,arrow
66,lion
67,child
72,vessel
73,woman
74,world
75,shepherd
76,hat
78,head
80,egypt
81,music
83,journey
84,marks
86,bear
87,four
88,twelve
94,return
99,cow
100,apollo
101,storm
103,power
105,fall
106,figures
107,six
108,cross
109,steps
110,moon
114,bath
117,mask
118,nature
119,stone
120,strength
122,drink
123,darkness
124,horse
125,box
127,flute
129,city
130,matter
131,horns
132,desert
133,crown
135,mother
136,sound
138,secret
139,lamp
140,night
141,fountain
144,oak
146,rock
148,father
149,mirror
150,white
151,stars
152,names
153,ages
155,blood
158,sun
160,wall
162,death
163,window
164,vine
165,wings
166,destruction
169,bridge
171,giant
172,hunt
174,pillar
176,heart
177,dwarf
178,creation
180,knife
181,ten
182,crowd
184,wheel
185,wood
186,dog
187,dust
189,clouds
190,waves
195,chain
197,shape
200,fish
203,centre
204,seasons
206,pan
207,throne
209,castle
212,point
213,circle
215,fruit
217,stag
218,eye
219,sea
220,emperor
222,king
224,garden
225,man
226,numbers
229,radiance
231,west
232,marriage
233,weaving
236,forest
239,time
240,halo
241,mouth
242,water
244,ass
245,garland
246,voyage
247,cloak
249,double
251,book
252,house
253,dove
257,eve
258,palace
259,colour
262,space
263,dance
264,victory
265,instruments
266,basket
267,one
268,combat
269,hell
270,fight
271,thorn
272,room
273,ivy
274,war
275,skull
277,skin
279,level
280,gold
281,apple
282,door
283,well
284,dragon
285,thread
290,hours
294,air
295,life
297,foot
300,nymphs
301,image
303,island
304,seven
305,bottle
307,three
309,hare
310,mist
311,arm
313,sign
314,clothes
315,wind
316,paradise
317,temple
318,choice
323,pomegranate
324,warriors
325,year
326,ship
327,boat
328,mountain
330,serpent
331,tower
332,river
333,crystal
334,sacrifice
335,tomb
338,fields
339,disguise
340,mars
