Source,Target
ages,city
ages,dragon
ages,lion
ages,steps
ages,sword
ages,tower
ages,west
ages,year
air,bird
air,birds
air,cold
air,dragon
air,eagle
air,father
air,hole
air,man
air,mist
air,moon
air,music
air,procession
air,smoke
air,sound
air,stone
air,tree
air,water
air,wind
air,wings
animals,boar
animals,dove
animals,dragon
animals,drink
animals,eagle
animals,giant
animals,horns
animals,lion
animals,man
animals,mirror
animals,mountain
animals,mouth
animals,procession
animals,smoke
animals,tower
animals,tree
animals,triumph
animals,wings
apollo,arrow
apollo,bow
apollo,dragon
apollo,laurel
apollo,mouth
apollo,tree
arm,fight
arm,space
arm,tree
arrow,apollo
arrow,bow
arrow,dragon
basket,seasons
bear,ages
bear,animals
bear,boar
bear,flocks
bear,heat
bear,hole
bear,man
bear,mother
bear,nature
bear,procession
bear,space
bear,world
bird,animals
bird,crest
bird,dove
bird,eagle
bird,fish
bird,flight
bird,gorgon
bird,hand
bird,monsters
birds,animals
birds,bird
birds,king
blood,dragon
blood,man
blood,mother
blood,pegasus
blood,pomegranate
blood,weapons
blood,wine
boar,animals
boar,hunter
boat,ship
body,basket
body,bird
body,boat
body,box
body,clothes
body,crown
body,desert
body,dragon
body,eye
body,foot
body,hair
body,hand
body,head
body,heart
body,heaven
body,house
body,king
body,man
body,minotaur
body,mouth
body,ocean
body,power
body,reins
body,serpent
body,shadow
body,ship
body,stone
body,sun
body,tomb
body,woman
bow,apollo
branch,seed
branch,sword
bull,animals
bull,blood
bull,cloak
bull,dog
bull,lion
bull,man
bull,monsters
bull,triumph
cave,bird
cave,cavern
cave,mother
cave,treasure
cave,water
cavern,cave
cavern,mountain
centaur,minotaur
cerberus,trident
chariot,animals
chariot,boat
chariot,reins
chariot,triumph
child,ages
child,eye
choice,hat
choice,lover
choice,treasure
city,clothes
city,forest
city,labyrinth
city,woman
cloak,blood
clothes,disguise
clothes,lover
clouds,heaven
clouds,hours
clouds,king
clouds,steps
clouds,water
cold,air
cold,man
creation,destruction
creation,eye
creation,fire
creation,giant
creation,gorgon
creation,head
creation,image
creation,mountain
creation,night
creation,sacrifice
creation,space
creation,stone
creation,valley
creation,vine
creation,water
creation,weaving
creation,year
crest,animals
crest,helmet
crown,apollo
crown,child
crown,city
crown,diadem
crown,garland
crown,head
crown,heart
crown,horns
crown,justice
crown,mountain
crown,seasons
darkness,animals
darkness,cavern
darkness,eagle
darkness,earth
darkness,journey
darkness,monsters
darkness,mountain
darkness,night
darkness,thunderbolt
darkness,weapons
