,Source,Target,Weight
0,Eurystheus,Heracles,21
1,Heracles,Eurystheus,19
2,Heracles,Hero,12
3,Theseus,Man,12
4,Heracles,Man,11
5,Medea,Jason,11
6,Aphrodite,Beauty,10
7,Aphrodite,Psyche,10
8,Heracles,Strength,10
9,Jason,Pelias,9
10,Jason,Medea,9
11,Heracles,Time,9
12,Heracles,King,8
13,Olympus,Gods,7
14,Dionysus,God,7
15,Pelias,King,7
16,Argo,Day,7
17,Eurystheus,Time,7
18,Zeus,Gods,6
19,Olympus,Zeus,6
20,Aphrodite,Goddess,6
21,Psyche,Husband,6
22,Apollo,Hyacinthus,6
23,Admetus,Time,6
24,Pyramus,Thisbe,6
25,Polydectes,Perseus,6
26,Pelias,Jason,6
27,Ino,Athamas,6
28,Theseus,Mother,6
29,Theseus,Father,6
30,Aethra,Son,6
31,Heracles,Men,6
32,Heracles,Labors,6
33,Heracles,Lion,6
34,Heracles,Arrow,6
35,Heracles,Labor,6
36,Heracles,Stables,6
37,Minos,Bull,6
38,Heracles,Ship,6
39,Deianira,Heracles,6
40,Apollo,God,5
41,Hermes,Cattle,5
42,Apollo,Hermes,5
43,Apollo,Lyre,5
44,Phaethon,Chariot,5
45,Persephone,Spring,5
46,Zeus,Persephone,5
47,Psyche,Aphrodite,5
48,Psyche,Cupid,5
49,Hyacinthus,Apollo,5
50,Prometheus,Man,5
51,Admetus,King,5
52,Heracles,Mighty,5
53,Ninus,Tomb,5
54,Meleager,Uncles,5
55,Hippomenes,Atalanta,5
56,Polydectes,Danae,5
57,Perseus,Head,5
58,Jason,Cheiron,5
59,Heracles,Theseus,5
60,Theseus,Stone,5
61,Aethra,Theseus,5
62,Athens,Theseus,5
63,Theseus,People,5
64,Labors,Heracles,5
65,Heracles,None,5
66,Eurystheus,King,5
67,Heracles,Arrows,5
68,Heracles,Fire,5
69,Heracles,Hades,5
70,Zeus,Hermes,4
71,Apollo,Cattle,4
72,Zeus,Olympus,4
73,Apollo,Love,4
74,Zeus,Phaethon,4
75,Phaethon,God,4
76,Athene,Goddess,4
77,Poseidon,City,4
78,Poseidon,Trident,4
79,Demeter,Daughter,4
80,Hades,Persephone,4
81,Psyche,Goddess,4
82,Psyche,Myths,4
83,Apollo,Oracle,4
84,Psyche,Wind,4
85,Psyche,Sisters,4
86,Psyche,Time,4
87,Psyche,Lamp,4
88,Psyche,River,4
89,Aphrodite,Box,4
90,Psyche,Voice,4
91,Adonis,Spring,4
92,Aphrodite,Adonis,4
93,Zeus,Prometheus,4
94,Prometheus,Epimetheus,4
95,Epimetheus,Person,4
96,Zeus,Pity,4
97,Minos,Daedalus,4
98,Minos,Artist,4
99,Icarus,Daedalus,4
100,Midas,Ears,4
101,Pelias,Man,4
102,Heracles,Admetus,4
103,Heracles,Nothing,4
104,Heracles,Wine,4
105,Heracles,Queen,4
106,Meleager,Althaea,4
107,Meleager,Atalanta,4
108,Proitos,Bellerophon,4
109,Pegasus,Horse,4
110,Bellerophon,Pegasus,4
111,Cheiron,Jason,4
112,Jason,Palace,4
113,Phrixus,Helle,4
114,Jason,Fleece,4
115,Jason,Argo,4
116,Argo,Heroes,4
117,Heracles,Arms,4
118,Pelias,Medea,4
119,Pelias,Nothing,4
120,Athens,King,4
121,Theseus,Time,4
122,Theseus,Mighty,4
123,Aegeus,King,4
124,Athens,Aegeus,4
125,Theseus,Pine,4
126,Aegeus,Son,4
127,Iphicles,Amphitryon,4
128,Zeus,Heracles,4
129,Heracles,Beast,4
130,Heracles,Club,4
131,Heracles,Greek,4
132,Heracles,Myths,4
133,Heracles,Ground,4
134,Hydra,Heracles,4
135,Eurystheus,Something,4
136,Heracles,Greece,4
137,Eurystheus,Labor,4
138,Heracles,Dark,4
139,Heracles,Cattle,4
140,Heracles,Land,4
141,Heracles,Sea,4
142,North,Africa,4
143,Pillars,Heracles,4
144,Heracles,Ocean,4
145,Eurystheus,Labors,4
146,Apollo,Mountain,3
147,Hermes,Apollo,3
148,Apollo,Nothing,3
149,Olympus,God,3
150,Apollo,Gods,3
151,Olympus,Sun,3
152,Zeus,Men,3
153,Daphne,River,3
154,Daphne,Hair,3
155,Artemis,Love,3
156,Phaethon,Mother,3
157,Phaethon,Fire,3
158,Phaethon,Epaphos,3
159,Phoebus,God,3
160,Apollo,Way,3
161,Apollo,Boy,3
162,Phaethon,Reins,3
163,Athene,Poseidon,3
164,Athene,Gods,3
165,Athene,Head,3
166,Athens,Athenians,3
167,Arachne,Eyes,3
168,Arachne,Skill,3
169,Athene,Arachne,3
170,Arachne,Moment,3
171,Arachne,Work,3
172,Arachne,Anger,3
173,Persephone,Joy,3
174,Persephone,Land,3
175,Persephone,Maidens,3
176,Persephone,Earth,3
177,Persephone,Demeter,3
178,Apollo,Form,3
179,Crete,Sea,3
180,Metaneira,Demeter,3
181,Zeus,Demeter,3
182,Hades,Nothing,3
183,Hades,Queen,3
184,Zeus,Months,3
185,Zeus,Year,3
186,Dionysus,Silenus,3
187,Silenus,Ass,3
188,Psyche,Father,3
