,Source,Target,Weight
0,Peleus,Son,61
1,King,Men,47
2,Jove,Thou,44
3,Hector,Host,44
4,Hector,Son,42
5,Achilles,Son,37
6,Achilles,Thou,35
7,Troy,Son,34
8,Chief,Son,34
9,Priam,Son,32
10,Ajax,Son,32
11,Jove,Gods,31
12,Jove,Son,31
13,Hector,Thou,30
14,Achaia,Host,29
15,Thou,Hast,28
16,Troy,Hector,28
17,Agamemnon,King,27
18,Gods,Men,27
19,Troy,Jove,27
20,Hector,Jove,27
21,Trojans,Hector,26
22,Achilles,Hector,26
23,Atreus,Son,25
24,Jove,Father,25
25,Gods,Son,25
26,Trojans,Greeks,25
27,Menelaus,Son,25
28,Gods,Jove,24
29,Greeks,Host,24
30,Juno,Jove,24
31,Hector,Arms,24
32,Jove,Juno,24
33,Jove,Hector,24
34,Hector,Achilles,24
35,Agamemnon,Men,23
36,Achilles,Patroclus,23
37,Hector,Trojans,23
38,Troy,Priam,23
39,Ilium,Host,23
40,Hector,Battle,23
41,Hector,Fleet,23
42,Hector,Troy,22
43,Trojan,Host,22
44,King,Son,21
45,Jove,Host,21
46,Achilles,Chief,21
47,Troy,Host,20
48,Achilles,Jove,20
49,Troy,Sons,20
50,Troy,Greeks,20
51,Ilium,Hector,20
52,Achilles,Friend,20
53,Hector,Patroclus,20
54,Jove,Thee,19
55,Hector,Chief,19
56,Gods,Thou,19
57,Jove,Daughter,19
58,Greeks,Battle,19
59,Trojans,Son,19
60,Gods,Achilles,18
61,Priam,Sons,18
62,Greeks,Son,18
63,King,Thou,18
64,Thy,Thou,18
65,Thy,Thee,18
66,Nestor,Son,18
67,Thou,Thee,18
68,Jove,Hath,18
69,Hector,Arm,18
70,Hector,Ajax,18
71,Jove,Achilles,17
72,Greeks,Jove,17
73,Gods,Thee,17
74,Him,Answer,17
75,Greeks,Trojans,17
76,Trojans,Troy,17
77,Ilium,Son,17
78,Chief,Hector,17
79,Hector,Fight,17
80,Trojan,Hector,17
81,Patroclus,Achilles,17
82,Juno,Pallas,16
83,Minerva,Jove,16
84,Achilles,Gods,16
85,Pallas,Jove,16
86,Hector,Thee,16
87,Ilium,Greece,16
