Source,Target
abyss,cave
abyss,labyrinth
abyss,lake
abyss,ocean
abyss,water
abyss,west
adventure,salvation
ages,city
ages,dragon
ages,elements
ages,enclosure
ages,lion
ages,eight
ages,stag
ages,steps
ages,sword
ages,tower
ages,west
ages,wheel
ages,year
air,bird
air,birds
air,centre
air,cold
air,dragon
air,eagle
air,elements
air,father
air,hole
air,ice
air,locusts
air,man
air,mist
air,moon
air,music
air,procession
air,smoke
air,sound
air,stone
air,tree
air,water
air,wind
air,wings
animals,boar
animals,dove
animals,dragon
animals,drink
animals,eagle
animals,giant
animals,horns
animals,lion
animals,man
animals,mirror
animals,mountain
animals,mouth
animals,plants
animals,procession
animals,smoke
animals,steed
animals,tower
animals,tree
animals,triumph
animals,wings
apollo,arrow
apollo,bow
apollo,dragon
apollo,laurel
apollo,mouth
apollo,names
apollo,swan
apollo,tree
ark,bottle
ark,colour
ark,object
ark,temple
arm,fight
arm,space
arm,tree
arrow,apollo
arrow,bow
arrow,chain
arrow,dragon
ash,colour
ash,dust
ash,tree
basket,seasons
bear,ages
bear,animals
bear,boar
bear,bower
bear,eternity
bear,flocks
bear,hamlet
bear,heat
bear,hole
bear,man
bear,mother
bear,nature
bear,procession
bear,space
bear,world
bell,object
belt,clothes
belt,fool
bird,animals
bird,coal
bird,crest
bird,dove
bird,eagle
bird,fish
bird,flight
bird,gorgon
bird,hand
bird,monsters
bird,swan
birds,animals
birds,bird
birds,colour
birds,king
birds,wheel
blood,dragon
blood,man
blood,mars
blood,mother
blood,pegasus
blood,pomegranate
blood,weapons
blood,white
blood,wine
boar,animals
boar,hunter
boar,steed
boat,centre
boat,ship
boat,swan
body,basket
body,belt
body,bird
body,boat
body,box
body,clothes
body,column
body,crown
body,desert
body,dragon
body,dwarf
body,eye
body,foot
body,hair
body,hand
body,head
body,heart
body,heaven
body,house
body,king
body,man
body,mask
body,minotaur
body,mouth
body,necklace
body,ocean
body,power
body,reins
body,serpent
body,shadow
body,ship
body,shoes
body,skin
body,skull
body,stone
body,sun
body,swan
body,tomb
body,woman
book,love
book,procession
book,serpent
book,steps
bow,apollo
bow,net
branch,fountain
branch,seed
branch,sword
bridge,harp
bridge,stag
bull,animals
bull,blood
bull,cloak
bull,cow
bull,dog
bull,lion
bull,man
bull,monsters
bull,steed
bull,triumph
bull,victory
castle,colour
castle,enclosure
castle,mountain
cat,animals
cave,bird
cave,cavern
cave,mother
cave,treasure
cave,water
cavern,cave
cavern,mountain
centaur,minotaur
centaur,steed
centre,animals
centre,colour
centre,dragon
centre,enclosure
centre,fall
centre,fire
centre,fool
centre,fountain
centre,fruit
centre,gorgon
centre,heart
centre,hell
centre,labyrinth
centre,mountain
centre,twelve
centre,palace
centre,pearl
centre,point
centre,power
centre,shape
centre,ship
centre,space
centre,spark
centre,swan
centre,temple
centre,time
centre,tree
centre,well
centre,wheel
centre,white
cerberus,trident
chain,stag
chain,steps
chaos,darkness
chaos,dragon
chaos,flocks
chaos,hero
chaos,horse
chaos,mist
chaos,shape
chariot,animals
chariot,boat
chariot,reins
chariot,triumph
chariot,wheel
child,ages
child,eye
choice,hat
choice,lover
choice,treasure
circle,ark
circle,centre
circle,colour
circle,dance
circle,egg
circle,enclosure
circle,eye
circle,fountain
circle,halo
circle,hand
circle,mountain
circle,mouth
circle,eight
circle,twelve
circle,ring
circle,shape
circle,thorn
circle,time
circle,wheel
circle,year
city,clothes
city,colour
city,enclosure
city,forest
city,labyrinth
city,white
city,woman
cloak,blood
clothes,colour
clothes,disguise
clothes,lover
clouds,centre
clouds,heaven
clouds,hours
clouds,king
clouds,neptune
clouds,steps
clouds,water
cold,air
cold,man
cold,mistletoe
colour,bird
colour,blood
colour,castle
colour,chaos
colour,choice
colour,cloak
colour,crow
colour,emperor
colour,figures
colour,fool
colour,helmet
colour,hunter
colour,light
colour,minstrel
colour,mistletoe
colour,mountain
colour,night
colour,object
colour,pomegranate
colour,prometheus
colour,saturn
colour,sign
colour,star
colour,stone
colour,temple
colour,treasure
colour,white
colour,world
column,pillar
column,smoke
combat,adventure
combat,chain
combat,colour
combat,destruction
combat,dragon
combat,fight
combat,hero
combat,monsters
combat,net
combat,war
combat,weapons
creation,chaos
creation,cow
creation,dance
creation,destruction
creation,elements
creation,eye
creation,fire
creation,giant
creation,gorgon
creation,hammer
creation,head
creation,image
creation,mars
creation,mountain
creation,night
creation,ring
creation,sacrifice
creation,space
creation,stone
creation,valley
creation,vine
creation,water
creation,weaving
creation,year
crest,animals
crest,emperor
crest,helmet
crow,colour
crown,apollo
crown,child
crown,city
crown,diadem
crown,garland
crown,halo
crown,head
crown,heart
crown,horns
crown,jupiter
crown,justice
crown,mountain
crown,seasons
crown,thorn
crown,victory
crystal,goblet
crystal,mirror
dance,ring
darkness,animals
darkness,castle
darkness,cat
darkness,cavern
darkness,colour
darkness,crow
darkness,eagle
darkness,earth
darkness,journey
darkness,monsters
darkness,mountain
darkness,night
darkness,star
darkness,thunderbolt
darkness,weapons
dawn,dew
dawn,thunderbolt
death,abyss
death,ages
death,animals
death,ash
death,ass
death,bird
death,cerberus
death,chaos
death,colour
death,dove
death,hand
death,horse
death,hunter
death,intestines
death,knife
death,lake
death,locusts
death,loss
death,mars
death,moon
death,mother
death,mountain
death,music
death,musician
death,night
death,nymphs
death,plants
death,return
death,room
death,space
death,stag
death,stone
death,styx
death,superiority
death,sword
death,water
death,west
death,wheel
death,wood
death,world
death,year
desert,birds
desert,serpent
desert,valley
destruction,bath
destruction,colour
destruction,dragon
destruction,dust
destruction,eve
destruction,eye
destruction,fire
destruction,locusts
destruction,return
destruction,ruins
destruction,serpent
destruction,ship
destruction,space
destruction,weapons
destruction,west
devil,eye
devil,hunter
devil,west
dew,snow
diadem,crown
diadem,horns
diadem,nature
diadem,serpent
disappearance,enchantment
disappearance,mirror
disappearance,mountain
disappearance,ocean
dog,cerberus
dog,colour
door,bower
door,hole
door,mirror
door,stone
double,bite
double,colour
double,dew
double,eagle
double,fountain
double,four
double,eight
double,saturn
double,staff
double,treasure
dove,animals
dove,hand
dragon,animals
dragon,boar
dragon,bull
dragon,dreams
dragon,elements
dragon,enchantment
dragon,eternity
dragon,guardian
dragon,hesperides
dragon,man
dragon,matter
dragon,monsters
dragon,procession
dragon,seasons
dragon,superiority
dragon,thirst
dragon,treasure
dragon,triumph
dragon,victory
dragon,water
dreams,animals
dreams,ass
dreams,child
dreams,clothes
dreams,fire
dreams,hamlet
dreams,house
dreams,ocean
dreams,steps
dreams,water
dust,ash
dust,cow
dust,stone
eagle,animals
eagle,bird
eagle,birds
eagle,dragon
eagle,gorgon
eagle,jupiter
eagle,king
eagle,lion
eagle,mountain
eagle,music
eagle,procession
eagle,stag
eagle,triumph
earth,air
earth,animals
earth,bull
earth,chain
earth,clothes
earth,colour
earth,cow
earth,death
earth,desert
earth,devil
earth,dragon
earth,elements
earth,enchantment
earth,foot
earth,garden
earth,gold
earth,guardian
earth,head
