Source,Target
sword,light
stone,earth
world,stars
world,shadow
shadow,earth
cow,night
king,world
fire,heart
heaven,strength
sword,abyss
world,earth
fool,destruction
earth,flame
earth,sword
earth,light
sword,cauldron
sword,stone
victory,stone
sword,sea
earth,stone
cow,head
sword,hand
light,hand
sword,earth
fire,earth
stars,sea
heaven,earth
king,child
earth,music
earth,fire
white,light
light,earth
light,cauldron
sword,victory
light,victory
light,stone
cauldron,stone
sword,world
light,world
victory,world
stone,world
sword,time
stone,music
earth,well
white,island
victory,cauldron
eye,harp
eye,king
sun,fire
woman,house
sword,fire
light,fire
stone,fire
earth,body
victory,seven
stars,night
victory,skin
island,strength
heaven,one
abyss,strength
victory,strength
night,sword
earth,heaven
earth,strength
sea,seven
shadow,world
fool,palace
king,one
fool,man
king,water
balder,world
balder,death
jupiter,father
jupiter,earth
saturn,jupiter
balder,horse
balder,woman
balder,heaven
apollo,lyre
prometheus,man
apollo,love
pegasus,horse
apollo,mountain
persephone,earth
prometheus,earth
prometheus,fire
apollo,time
minotaur,king
hours,chariot
apollo,earth
persephone,meadow
persephone,mother
persephone,time
wine,water
apollo,wind
narcissus,love
prometheus,rock
prometheus,sun
apollo,king
death,hand
pegasus,hero
pegasus,air
gorgon,head
gorgon,sword
minotaur,one
persephone,cerberus
