,0,1,2,3
0,4.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0
2,0.0,0.0,2.0,0.0
3,6.0,0.0,0.0,0.0
4,2.0,4.0,5.0,0.0
5,4.0,1.0,0.0,2.0
6,1.0,0.0,0.0,0.0
7,0.0,3.0,2.0,0.0
8,4.0,0.0,4.0,0.0
9,0.0,0.0,0.0,6.0
10,2.0,1.0,1.0,2.0
11,1.0,2.0,0.0,1.0
12,1.0,0.0,0.0,1.0
13,0.0,0.0,2.0,2.0
14,2.0,2.0,0.0,0.0
15,1.0,0.0,0.0,0.0
16,6.0,7.0,2.0,0.0
17,4.0,0.0,0.0,2.0
18,4.0,0.0,4.0,1.0
19,2.0,1.0,4.0,0.0
20,1.0,1.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,3.0,1.0,0.0,4.0
23,5.0,1.0,1.0,0.0
24,0.0,1.0,0.0,2.0
25,0.0,0.0,1.0,1.0
26,3.0,0.0,9.0,4.0
27,0.0,1.0,0.0,0.0
28,5.0,0.0,4.0,0.0
29,1.0,0.0,4.0,0.0
30,6.0,1.0,2.0,7.0
31,0.0,1.0,3.0,1.0
32,3.0,3.0,0.0,4.0
33,1.0,0.0,8.0,0.0
34,0.0,2.0,3.0,0.0
35,0.0,1.0,0.0,0.0
36,1.0,3.0,1.0,1.0
37,3.0,0.0,1.0,0.0
38,1.0,1.0,0.0,0.0
39,2.0,3.0,0.0,0.0
40,4.0,0.0,0.0,3.0
41,1.0,0.0,2.0,0.0
42,0.0,5.0,0.0,0.0
43,1.0,0.0,0.0,1.0
44,0.0,2.0,7.0,1.0
45,5.0,0.0,2.0,2.0
46,0.0,2.0,0.0,4.0
47,1.0,0.0,0.0,0.0
48,2.0,0.0,5.0,0.0
49,0.0,0.0,5.0,2.0
50,0.0,6.0,3.0,0.0
51,6.0,4.0,2.0,1.0
52,2.0,0.0,5.0,1.0
53,0.0,0.0,4.0,0.0
54,1.0,4.0,0.0,7.0
55,0.0,7.0,3.0,7.0
56,4.0,0.0,0.0,0.0
57,2.0,2.0,0.0,0.0
58,0.0,4.0,0.0,1.0
59,6.0,3.0,2.0,0.0
60,1.0,0.0,5.0,5.0
61,0.0,3.0,0.0,1.0
62,0.0,0.0,3.0,2.0
63,0.0,3.0,0.0,3.0
64,3.0,7.0,0.0,0.0
65,0.0,0.0,0.0,0.0
66,2.0,0.0,2.0,0.0
67,4.0,4.0,1.0,0.0
68,0.0,3.0,2.0,2.0
69,0.0,1.0,0.0,4.0
70,4.0,0.0,0.0,5.0
71,1.0,0.0,3.0,6.0
72,2.0,7.0,3.0,0.0
73,4.0,1.0,0.0,4.0
74,0.0,0.0,1.0,0.0
75,3.0,2.0,0.0,0.0
76,0.0,0.0,2.0,1.0
77,6.0,5.0,0.0,1.0
78,0.0,8.0,4.0,7.0
79,3.0,5.0,0.0,0.0
80,2.0,0.0,0.0,0.0
81,0.0,5.0,1.0,2.0
82,2.0,0.0,2.0,4.0
